Page ID,Page name,Disclaimer,Amount spent (MXN),Number of ads in Library
561934300901737,H. Ayuntamiento de Tepeaca,H. Ayuntamiento de Tepeaca,20675,18
511521995552064,"Secretaría de Innovación, Ciencia y Tecnología",Gobierno de Jalisco,20496,10
102965142770908,Poder Chairo,Jose Luis Hernandez Martinez,20107,8
253666405311315,Iván Elier Presenta,Iván Elier Presenta,20015,3
104868202533100,Café y Noticias Mx,cafeynoticiasmx.com,20000,1
109573938764758,Con Claudia hasta el Final,Ana Maria Torres Rivera,19919,7
261548570655865,Juan Angel Flores Bustamante,Juan Ángel Flores Bustamante,19897,12
103959544551197,Dermoter - Capacitación en Medicina Estética y Antiedad,Manuel Enrique Bernal Illarza,19810,28
115452255131465,Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,19630,24
111024680681758,Universidad Contemporánea de las Américas Frónesis Plantel Ciudad de México,Universidad Contemporánea de las Américas Frónesis Plantel Ciudad de México,19413,7
105925314120759,Mario Bracamonte,Julián Reynoso Mazoy,19178,193
113974947457905,Ni Fifís Ni Chairos,Resonancia Edo Mex,19164,2
112263625166092,El Siervo De La Nación,Gabriel Alejandro Romero Gallaga,19144,8
100539512991362,Yo con Ella,Jessica Hernandez Martinez,19132,7
181228948581076,Fernando Manzanilla Prieto,Fernando Manzanilla Prieto,19011,45
180533315991,Guanajuato Gobierno del Estado,Gobierno del Estado de Guanajuato,18964,6
231602417391989,Janecarlo Lozano,Janecarlo Lozano,18940,5
1095948597209125,Grupo Financiero Banorte,Banco Mercantil del Norte,18720,148
202456989183,Gobierno de Monterrey,Gobierno de Monterrey,18632,16
107727682047392,XunMexicodeverdad,X UN MÉXICO DE VERDAD,18628,69
893730880832707,CEDET,Jona Reyes Caballero,18462,1
112008641550389,Cartones de México,Cartones de México,18200,5
107640312290269,Mariana Ortega,Movimiento Ciudadano,18157,4
105222757700821,Esto es México,estoesmexicomx.com,18132,14
114011478301483,Institute for Obesity Research,Institute for Obesity Research,18000,3
1764550793836865,Titina Gómez,Titina Gómez,17902,15
192366194179807,León Municipio,León Municipio,17645,8
113199128401564,El Jarocho de la 4t,Rafael Fuentes Avila,17635,8
235606900176440,Macronews,Macronews,17582,30
117578037942108,Democracia Informada,https://democraciainformada.com/,17559,31
924215500923867,Lucy Meza,Lucy Meza,17534,10
116513358016500,Transparencia Ciudadana,Ciudadanos,17463,32
110909187749711,Debate Online,IMPRONTE,17427,9
1879285485657995,Dr. Pepe Cruz,Pepe Cruz,17336,52
428903227172775,AyuntaMÉRIDA,AyuntaMÉRIDA,17304,18
