Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
1920108454748294,Senator Perin Davey,Senator Perin Davey,327,7
1395663294004655,Vinnies Australia,These ads ran without a disclaimer,324,13
169115193111983,Senator Sarah Hanson-Young,Senator Sarah Hanson-Young,323,1
1690917747875464,Healesville CORE,Healesville CORE,323,2
1001374126565386,Nic Street MP - Liberal Member for Franklin,Nic Street MP,320,2
108710002228310,AU BB CC,These ads ran without a disclaimer,320,6
128523673836393,Warrnambool City Council,Warrnambool City Council,319,3
129209787133659,NSW Nurses and Midwives' Association,NSW Nurses and Midwives' Association,317,2
107262275323190,Iwan Walters MP,Iwan Walters - Labor for Greenvale,316,1
402408806477773,David Coleman - Member for Banks,David Coleman,315,22
557758877731148,Anne Stanley MP,Anne Stanley MP,314,8
147398588635445,National Seniors Australia,These ads ran without a disclaimer,311,1
221767827981204,Transport for NSW,These ads ran without a disclaimer,311,1
1477868602523775,Friends With Dignity,Friends With Dignity,309,3
117034128319159,David Southwick MP,David J Southwick,308,7
150910108292573,Financial Review,These ads ran without a disclaimer,304,31
839183619577851,Subpod,These ads ran without a disclaimer,303,2
372175879497767,SBS Dari,SBS Dari,300,2
388541264522596,SBS Sinhala,SBS Sinhala,300,22
476400975832131,Mark Robinson MP,Mark Robinson MP,300,1
111439084384686,Elizabeth Watson-Brown - Greens MP for Ryan,Elizabeth Watson-Brown,300,2
