Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
250620368145268,Candymin,These ads ran without a disclaimer,≤100,2
165442716658885,nizar_sadawi,These ads ran without a disclaimer,≤100,1
349511728247399,محمد الحلبي,These ads ran without a disclaimer,≤100,2
272946312577779,rita_kalloop,These ads ran without a disclaimer,≤100,1
114244354588393,Simultanous,These ads ran without a disclaimer,≤100,1
103781722706378,BK,These ads ran without a disclaimer,≤100,1
167311406630209,Dräger,These ads ran without a disclaimer,≤100,1
297318053472698,D5a7w67e4d,These ads ran without a disclaimer,≤100,1
103068182553928,Adiobariga,These ads ran without a disclaimer,≤100,2
252482824620957,Achievement Astonishing Ambition,These ads ran without a disclaimer,≤100,1
