Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
207378966450296,Luis Samyn Ducó,Luis Samyn Ducó,169270,18
100102222991135,Unión Por San Luis,Unión Por San Luis 2,169180,2
1605180749766737,Sergio Miodowsky,Sergio David Miodowsky,168735,32
724996754296086,Luciano Acedo Salim,Luciano Acedo Salim,168057,15
1423529917915372,Liliana Martínez Allende Legisladora,Liliana Martinez Allende,167526,9
459777610743664,Ariel Sujarchuk,HAY ALTERNATIVA PARA EL CAMBIO EN ESCOBAR - HACE,167256,52
1632894596942331,Paulino Rossi,Paulino  Baltasar Jesus Rossi,166931,9
102744535962182,Chubut Política,Chubut Política,166879,15
378225769015907,Fundación Embajada Abierta,Fundación Embajada Abierta,166835,10
105791202046721,Punto Ushuaia,Punto Ushuaia,166800,57
317140548314140,San Fernando Municipio,San Fernando Municipio,165289,8
105934511973989,Fabian De Sa,Misiones por el cambio,165125,23
113288233452533,Nancy Picón,Nancy Picón,165042,32
1450635761836520,Damian Loli Löffler,Damian Loli Löffler,163639,7
274062822714291,Sergio Uñac,Servicio informativo Gobierno de San Juan,163034,10
103979698049656,El notición,El Notición Online,162504,5
369181306485506,Patricia Cubria,showercomunicacion,162118,8
190356261138005,Leandro Zdero,Leandro Zdero,162037,24
138240873247312,Gabriel Pradines,Gabriel Pradines,161945,15
1801160446825374,Andrés Forgione,Roberto Andres Forgione Svoboda,161614,28
111456641922572,Es de Pelados,Es De Pelados,160626,3
259111760849274,Federico Angelini,Juntos por el Cambio,160566,12
100360879009336,Maxi Ybars,Andres Maxi Ybars,160103,26
624669377571669,Silvia Elias de Perez,Silvia Elias de Perez,159767,17
109260823781982,Javier Monico Graciano,Javier Alberto Monico Graciano,159268,19
114299924620455,Andrés Antonietti,Andres Antonietti,159254,29
106277608413948,Felipe Biella,Juan Martin Biella Calvet,158963,3
1960408947531757,Germán Alfaro,Partido por la Justicia Social,158088,10
163829927003495,Armando Pipi Traferri,Armando Pipi Traferri,157703,51
458384960873948,Alejandro Cacace,Alejandro Cacace,157581,7
542137185925627,Atilio Basualdo Intendente,Victor Pablo Basualdo,156865,42
886667964679142,Fabián Gramajo,Fabián Gramajo,156207,55
508042719277404,Fabricio Bolatti,FABRICIO BOLATTI,153886,98
103041002026373,Raul Ibaceta,Rauljesus  Ibaceta,153332,41
390606981676723,Susana Torres,Susana Compromiso por San Luis,153183,8
1557687961227122,Agustina Ciarletta,Agustina Ciarletta,153153,18
147542145441233,Rodolfo Colombo,Rodolfo Guillermo Colombo,150278,130
160510364129716,José Viñuela / Ciberperiodismo,Ciberperiodismo,150000,1
132275286851048,Luis Alfredo Juez,Frente Cívico de Córdoba,149418,10
800096146713300,Marcelo Rodriguez,Marcelo Jorge Rodriguez,149414,26
284235712299222,Alejandro Trapani,Alejandro Trapani,148891,10
782697941744883,Catamarca Capital,Catamarca Capital,148419,7
111017727886118,Chuchi Molina,Chuchi Adriana Molina,148022,15
121558597580863,Celeste Ascúa,Frente de Todos,147326,36
1118590665008713,Javier Bareiro,Javi Bareiro,147116,65
631005016932969,Gabriela González Riollo,Gabriela Gonzalez Riollo,146528,21
100198331521581,Agencia Provincial de Noticias La Pampa,APN La Pampa,146003,37
100135086249194,Noticias del Norte,Noticias del Norte,145977,13
283646341668240,Noticias Urbanas,Noticias Urbanas,145324,9
432716433933307,Despertar San Juan,Despertar San Juan,144323,32
141231856052932,Evert Van Tooren,Evert Van Tooren,142931,29
424278914423138,Julio Moises,Todos por Jujuy,142429,20
947697181983026,Ministerio De Salud La Pampa,Ministerio De Salud La Pampa,141826,31
