Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
110897011635842,Ganjar Jabar,Ganjar Nusantara Indonesia,200000,1
106674122146910,Warta Banjarmasin,Ganjar Nusantara Indonesia,200000,1
107318141100190,Semarang Raya Terkini,Ganjar Nusantara Indonesia,200000,1
103292932453775,GP Tapal Kuda,Ganjar Nusantara Indonesia,200000,1
101897212629526,Suasana jogjakarta,Ganjar Nusantara Indonesia,200000,1
105425845606525,Balikpapan terdepan,Ganjar Nusantara Indonesia,200000,1
111272021680009,Cendekiawan Palembang,Ganjar Nusantara Indonesia,200000,1
101851468280755,RUMAH KITA Lamongan,Ganjar Nusantara Indonesia,200000,1
108629635281587,Meditasi Banjar,Ganjar Nusantara Indonesia,200000,1
107690102033332,Diskusi Tanggamus,Ganjar Nusantara Indonesia,200000,1
101013849386195,Tema Bantul,Ganjar Nusantara Indonesia,200000,1
101396779210463,Rumah Kita Jatim,Ganjar Nusantara Indonesia,200000,1
100717128450574,Susanto Budi Raharjo,Ardian Purbo Kuncoro,200000,2
100754459407291,Inspirasi Bandar Lampung,Ganjar Nusantara Indonesia,200000,1
103154962503579,Penggemar Pontianak,Ganjar Nusantara Indonesia,200000,1
106681168697547,Rumah kita sulsel,Ganjar Nusantara Indonesia,200000,1
101053572540830,Sahabat Inspirasi,Ganjar Nusantara Indonesia,200000,1
100981282876455,Pesisir Barat Bersahabat,Ganjar Nusantara Indonesia,200000,1
114460673670696,Pati Raya ID,Ganjar Nusantara Indonesia,200000,1
103584384805755,Soloraya Terkini,Ganjar Nusantara Indonesia,199999,1
108294188639371,Medan satu,Ganjar Nusantara Indonesia,199999,1
103459482464091,Membawa langkat,Ganjar Nusantara Indonesia,199996,1
720303975448251,Banyumasan Ngapak,Ganjar Nusantara Indonesia,199996,1
109916735140811,Lampung Tengah Berfikir,Ganjar Nusantara Indonesia,199992,1
101772656128822,Pesawaran Menawan,Ganjar Nusantara Indonesia,199948,1
110454451763465,Sambas Bersinar,Ganjar Nusantara Indonesia,199717,1
1222997111078552,Baznas JABAR,These ads ran without a disclaimer,197583,2
224808584616369,Adi Honda Pacific Kediri,These ads ran without a disclaimer,194444,3
107778980614595,Ricky Ndolu,Ricky Ndolu,189369,1
104013634372287,Rudiawan Sitorus,Rudiawan Sitorus,189161,1
104630795953230,Garda Politik,These ads ran without a disclaimer,181431,1
110750361762052,Pikiran Rakyat,Pikiran Rakyat,181185,13
115316574870257,Pemuda Dukung Anies,Dika Haris Abdurahman,180883,12
346234506118534,Samuel hardi polii,These ads ran without a disclaimer,177940,1
237104140028798,Diskominfo Bangka Barat,These ads ran without a disclaimer,168198,1
109284775428512,"IMAM MUHLIS, M.H",Imam Muhlis,167707,4
105471639119755,Seratus Persen ZIYAP,These ads ran without a disclaimer,167691,6
112151425144216,Herbal Sentosa,These ads ran without a disclaimer,167216,1
101247799347302,Entrepreneurs-Indonesia,These ads ran without a disclaimer,165423,1
102678851374882,Family Rental & Taksi,These ads ran without a disclaimer,161310,1
526765274016858,DPD Gerindra Gorontalo,Elnino Mohamad Husein Mohi,160000,2
101707142558617,Wakaf Cendekia,These ads ran without a disclaimer,159959,2
