Page ID,Page name,Disclaimer,Amount spent (EGP),Number of ads in Library
101645792687211,مجلة التنوير الثقافي,These ads ran without a disclaimer,≤100,1
462816597868668,Maktoum mohammed,These ads ran without a disclaimer,≤100,1
107847177821253,NOW الشرق,These ads ran without a disclaimer,≤100,1
104015971275226,Shady El Refaie شادي الرفاعي,These ads ran without a disclaimer,≤100,1
100933943325119,مركز سمايل كير لتجميل و زراعة الأسنان  Smile Care Dental Center,These ads ran without a disclaimer,≤100,2
418775708189870,Social Movement Technologies,These ads ran without a disclaimer,≤100,1
113409070485501,Samy Nasrallah - سامي نصرالله,Samy Nasrallah - سامي نصرالله,≤100,1
106331474473738,Esport Mobile,These ads ran without a disclaimer,≤100,1
479566642064481,AldiploMasyالدبلوماسى,These ads ran without a disclaimer,≤100,1
873955515980544,فراج عاشور,فراج عاشور,≤100,1
109144444936833,WaelSabry-وزير الاكل,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,6
941432595933871,نور العالم,These ads ran without a disclaimer,≤100,1
110133295249775,Mohamed Mohamed Abdelrazek,These ads ran without a disclaimer,≤100,1
107823491099101,01_jay_kayy_nottz,These ads ran without a disclaimer,≤100,1
