Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
105494899139678,Allard Constitucional,Allard Constitucional,243696,24
106886172345440,Carolina Contreras candidata a Consejera Constitucional,Carolina Contreras Retamal,243388,17
386634201382499,Marco Enriquez-Ominami,Marco Antonio Enríquez-Ominami Gumucio,241171,3
100632486305724,Pacto Niñez,Camilo Andrés Undurraga Pinto,239999,6
100521059062916,Mauricio Schmidt Consejero,Gustavo Adolfo Rivera Acuña,238146,10
112475141758550,Raúl Gil González,Raul Gil Gonzalez,235293,6
115638851443506,Erwin Sandoval Consejero Constitucional,Erwin Sandoval Consejero Constitucional,234549,8
104260521982245,Carlos González Herrera,Carlos González Herrera,234025,36
100407462996006,Camila Torres Constituyente,Camila Torres Constituyente,232063,8
101217102905633,Christian Inostroza,Christian Inostroza,230630,5
117118924644426,Valeria Ochoa,Valeria Amanda Ochoa Hinrichsen,227459,98
101165425399412,José Osvaldo Zuñiga Consejero Constitucional Ñuble,José Osvaldo Zuñiga Pino,223165,9
113905858293465,Guillermo Palacios Candidato,Guillermo Palacios Candidato,223068,28
102749461731343,Julio Ñanco Antilef,Julio Francisco Ñanco Antilef,219909,7
192316264161697,Agencia de Sostenibilidad Energética,Agencia de Sostenibilidad Energética,213377,3
10152723078,Alejandro Navarro,Alejandro Navarro,205485,12
350025708997760,Minera Vizcachitas,Minera Vizcachitas,192991,11
968772086505075,Gerardo Espíndola Rojas,Gerardo Alfredo Espíndola Rojas,185634,18
19270352324,Universidad Andrés Bello,These ads ran without a disclaimer,185187,7
153699168357273,Carolina Lagos,Carolina Lagos,182999,9
108139672208391,Josefa Balmaceda Consejera Constitucional Ñuble,Josefa Javiera Balmaceda V,177817,4
102020808805309,Cristian Quilodran Parra,Cristian Quilodran Parra,177441,27
181208945236608,Patria Progresista,Patria Progresista,176644,2
411851492489649,Somos CMPC,CMPC,175486,6
109528705408416,Eduardo Castro Ríos - Consejero Constitucional,Giovanni Riffo,174485,13
113540781539326,Workmed,Workmed,168790,47
216994218325195,Admisión Universidad Adolfo Ibáñez,These ads ran without a disclaimer,168258,6
190270371085405,Andrés Sepúlveda Jiménez,José Ignacio Retamales Mendoza,168245,6
105657022459205,Ricardo Núñez Muñoz,Ricardo Núñez Muñoz,166592,13
111029491910412,ignacio_quijada2023,ignacio_quijada2023,160920,2
115416134825688,Marila Barrientos,Marila Loreto Barrientos Triviños,156205,5
116148738429923,Hyundai Chile,These ads ran without a disclaimer,156093,1
143360859486032,Alejandro Bernales Maldonado,Alejandro Bernales Maldonado,151986,4
245004027412380,Tabita Silva c15,Tabita Sarai Silva Leiva,151923,4
100645555080281,Academia Nacional de Litigación,Academia Nacional de Litigación,151692,18
103822445860239,Conexión Energía,These ads ran without a disclaimer,148242,2
26929188652,El Observatodo,MiVoz.cl,147958,158
1284017825055092,Juan Carlos Duhalde,Juan Carlos Duhalde,147612,8
242604915860706,Caja Los Andes,Caja Los Andes,147242,3
107204884646731,Carla Allendes Soza - Candidata Consejera Constitucional,José Ignacio Retamales Mendoza,146696,7
2257351691213562,Noticias que marcarán pauta,These ads ran without a disclaimer,143219,4
109506520963578,Pablo Bussenius Cornejo,Pablo Bussenius Cornejo,139104,7
102931702202829,Ernesto Plasencia,Ernesto Plasencia Rojas,137509,7
103323656092848,Beatriz Hevia Republicana,Beatriz Hevia,134284,5
100450062086471,APivcevic,APivcevic,131755,2
108922248816222,Secretaría de Participación Ciudadana,Secretaría de Participación Ciudadana,131323,12
145925692108470,Educación Continua UC Temuco,UNIVERSIDAD CATÓLICA DE TEMUCO,130907,6
105849139111961,Yorka Quinteros - Candidata al Consejo Constitucional Atacama,Yorka Elisabeth Quinteros Perez,128643,3
106694028236100,Gerencia de Personas,These ads ran without a disclaimer,128141,4
198921630648476,Vidrios Lirquén,Vidrios Lirquen,126999,5
