Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
106607802258548,Victoria Santander,Victoria Eugenia Santander Ñañez,148967,9
1383605158583178,Chicho Avanzando Ando,German Dario  Rodríguez Parro,148010,2
106317458395154,Huellas.Tv,Huellas.Tv,143712,6
110631755313371,Farid Quintero,Jorge Medina,143567,13
251437681992154,Charles Aguilar Medina,Charles De Jesus Aguilar Medina,141729,2
1242864402475742,BC Noticias,Oscar Javiar Bayona Villada,141691,15
101046256286876,Antimilitantes,Linea Cero,140464,18
117050711322214,María Paola Álvarez,Maria Paola Alvarez Puerta,140195,4
2081012991953059,Juan Diego Muñoz Cabrera,Juan Diego Muñoz Representante,140000,3
1106418176235331,Santi Perdomo,Santiago Perdomo Montoya,139942,1
1097160080323759,Alcaldía de Guachené Cauca,Alcaldía de Guachené Cauca,139657,3
112310805108867,Hernan Cobo Arias,Juan Camilo Pachon Petev,139423,6
356101551695420,James Ducuara.,Jhon James Ducuara,139253,19
105838268602868,María Doris Camacho,María Doris Camacho,138135,8
356949128210619,Juan Pablo Montoya Castañeda -Envigado,Juan Pablo Montoya Castañeda,137991,2
115299981431383,Cesar Chapal,Cesar Wilinton Chapal Quenama,137225,2
102833012703870,Diputado Lucas Martin,Lucas Martín,137221,3
106640878493249,Omar Marín Reyes,Omar Marin Reyes,137060,6
1465646276779035,Los Secretos Judíos,These ads ran without a disclaimer,136671,8
194315573916010,Norma Hurtado Sanchez,Norma Hurtado Sánchez,134245,8
471698040072735,Leonardo Siagama,Leonardo Siagama,133640,4
1523434004376549,Renzo García,Renzo García,133613,2
963227387143893,Etelivar Torres,Etelivar Torres,131030,2
689470488084597,Joan Manuel,Joan Rios,130427,4
111174841739202,Diego Arellano Beltran,Diego Fernando Arellano Beltran,130365,6
765302097170348,Línea Cero,Linea Cero,130109,13
207328272619841,adidas Careers,These ads ran without a disclaimer,130000,2
1012527158891475,Hernán Cadavid Márquez,Hernán Cadavid,128215,1
82928774489,Panda Security,These ads ran without a disclaimer,127877,3
109055928797982,Lina De Armas,Jean Carlos Garcia Santander,127559,3
105152267550074,Cata tu Candidata,Carlos Andres Martinez Ramirez,127480,1
