Page ID,Page name,Disclaimer,Amount spent (FJD),Number of ads in Library
114173187847219,Gems For Everybody Prime,These ads ran without a disclaimer,≤100,3
72149536933,SKF,These ads ran without a disclaimer,≤100,13
107935894688657,docfliq,These ads ran without a disclaimer,≤100,1
363012053811047,Valiani Cutting Machines,These ads ran without a disclaimer,≤100,1
1289843507717324,Youth for Asia,These ads ran without a disclaimer,≤100,2
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,11
174532709290967,FBS Markets Inc.,These ads ran without a disclaimer,≤100,1
100877498600309,California Youth Leadership Summit,These ads ran without a disclaimer,≤100,2
109834054543701,SolarButterfly,These ads ran without a disclaimer,≤100,18
581961658564804,Learn Chinese,These ads ran without a disclaimer,≤100,2
204862942932993,Nikkei Asia,These ads ran without a disclaimer,≤100,14
1590877284560136,Patti Harris,These ads ran without a disclaimer,≤100,6
169687486427698,Jentezen Franklin,These ads ran without a disclaimer,≤100,1
108645111787252,Discover Guilin,These ads ran without a disclaimer,≤100,3
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,36
333246690343865,Emmanuel Corels Tech Blog,These ads ran without a disclaimer,≤100,1
101754535744415,TUU'U Apparel,These ads ran without a disclaimer,≤100,1
622502298258261,aisforum,These ads ran without a disclaimer,≤100,1
112375747562156,Commonwealth Fashion Council,These ads ran without a disclaimer,≤100,1
821430017924241,Sungrow,These ads ran without a disclaimer,≤100,4
116152304722251,Magic1420-03,These ads ran without a disclaimer,≤100,3
447178272144612,Udit Goenka,These ads ran without a disclaimer,≤100,3
1883003128429295,Queer Majority,These ads ran without a disclaimer,≤100,8
102040279188611,Support Ukrainians WW,These ads ran without a disclaimer,≤100,3
17164098244,JM International,These ads ran without a disclaimer,≤100,1
1572311739654817,Bulls Of Crown Kennel,These ads ran without a disclaimer,≤100,1
189269999292,Wärtsilä Corporation,These ads ran without a disclaimer,≤100,1
102907028864011,The World Customs Organization Book,These ads ran without a disclaimer,≤100,1
540529686027437,Danfoss Climate Solutions,These ads ran without a disclaimer,≤100,1
1787885808135649,The Human Aspect,These ads ran without a disclaimer,≤100,3
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,4
105885535599394,Coach Cecil,These ads ran without a disclaimer,≤100,1
554913575271655,Ali Jahuur,These ads ran without a disclaimer,≤100,1
101485486059705,Fusion Shearing Crusher,These ads ran without a disclaimer,≤100,1
172542252922042,India Empire Magazine,These ads ran without a disclaimer,≤100,1
102057912815989,Magic1423-01,These ads ran without a disclaimer,≤100,3
983135718420987,Visit Jiangsu,These ads ran without a disclaimer,≤100,3
468305160581483,Voices,These ads ran without a disclaimer,≤100,1
109850201576702,Discover Harbin,These ads ran without a disclaimer,≤100,1
108779378799807,Magic1420-04,These ads ran without a disclaimer,≤100,1
112204705044281,United Nations Community Development Corporation,These ads ran without a disclaimer,≤100,1
1642929092406128,Knowable Magazine,These ads ran without a disclaimer,≤100,3
322922251052591,현대자동차그룹 : Hyundai,These ads ran without a disclaimer,≤100,3
106409538244845,Français au Canada,These ads ran without a disclaimer,≤100,1
7248739415,YOOX,These ads ran without a disclaimer,≤100,1
116308369063243,Kambria,These ads ran without a disclaimer,≤100,2
104363452271556,D456,These ads ran without a disclaimer,≤100,2
106313092408190,Michelle Jota VBE,These ads ran without a disclaimer,≤100,4
