Page ID,Page name,Disclaimer,Amount spent (BOB),Number of ads in Library
269633369881331,Senador Rodrigo Paz,These ads ran without a disclaimer,117,5
103324541323636,Fedjuve Santa Cruz Departamental,Nicolas Robledo Claros,117,2
1676781702621016,PSP,These ads ran without a disclaimer,117,1
105086827539952,Roly Gonzales Alcalde 2021-2026,Jenny Villca,117,3
102848138259059,Pipo Giménez PS13,These ads ran without a disclaimer,117,1
112506206786753,Agimex Contract,These ads ran without a disclaimer,117,1
104955450894743,Isotopo,These ads ran without a disclaimer,117,1
102457801570248,El pueblo ya lo sabe,These ads ran without a disclaimer,117,3
103246855085832,Vallegrande Progresa,Eufonía Agencia Digital,117,5
347462075464753,Carola Castedo Presentadora de TV - Maestra de Ceremonias,These ads ran without a disclaimer,117,1
104580757793951,Runy Diputado C51 -Creemos,Ramon Parra Mansilla,117,1
101297981510924,William Torrez Senador SCZ,Candido Flores Hinojosa,117,16
100421178670997,Grande mi Oruro,Coordenada Digital,117,6
100854301513506,Erica Ortiz Diputada C-49,These ads ran without a disclaimer,116,5
127187187348820,Kaspersky,These ads ran without a disclaimer,116,8
105585428155248,Fuelle Galván Gobernador,Walter Percy Galvan Ricaldi,116,3
100169108298271,Cecilia Paravicini Diputada cir 1,Hugo Roberto Gutierrez,116,6
110199033724802,INFO CECP,These ads ran without a disclaimer,116,3
100488468515794,IPSP,These ads ran without a disclaimer,115,3
678214138939385,Luis Alberto Vaca,These ads ran without a disclaimer,115,7
100874648531934,Unidos por Ascensión,Eduardo Mercado Cuellar,115,2
111538483955149,Chura Bolivia,These ads ran without a disclaimer,115,2
106642811855785,President de Boliv,These ads ran without a disclaimer,115,1
1976958852361898,Bolivia Aclara,These ads ran without a disclaimer,114,5
102133238563111,jhonny.antezana.ma,These ads ran without a disclaimer,114,1
