Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
106807145637774,Güldüren Bozbey,Güldüren Bozbey,151457,132
500796300357232,Turgay Baştuğ,Milliyetçi Hareket Partisi Ankara İl Başkanlığı,151271,145
327150251370332,Bartu Soral,Bartu Soral,151265,12
199421653251639,Hulusi özen,hulusi özen,151144,122
245695009697264,Mevlüt Öztekin,Mevlüt Öztekin,150387,24
105724511499805,Yeniden Refah Partisi,Yeniden Refah Partisi,149339,230
147133621817980,Ahmet Atakan ERTUĞ,Ahmet Atakan ERTUĞ,149209,97
2245970165663398,Tahsin Erdem,Tahsin Erdem,148733,171
192173710643716,Deniz Dalgıç,Deniz Dalgıç,148480,100
207256132478347,Atakan Yazgan,Teknovol,147726,37
100451933698060,AdVenture Communist,These ads ran without a disclaimer,147631,20
100440898675501,Cengiz Çelik,Cengiz Çelik,147563,35
100749372003988,Tıkır Tıkır Çalışıyoruz,Toygar Azar,147500,417
210705338800385,Ömer Abdullah Ayhan,Ömer Abdullah Ayhan,146664,59
678793932148150,Muammer Keskin,Şişli Belediyesi,146622,74
466090443429257,Manisa'da Bugün,Manisa'da Bugün,145090,70
389631048535981,Dr. Ayhan Koç,Dr. Ayhan Koç,145010,141
326363220894548,Nail Çiler,Nail Çiler,144946,92
319026564921676,Vatan Partisi,Vatan Partisi,143629,53
326946008146314,Emrah Özdemir,Emrah Özdemir,143216,24
228881793631003,Tuğrul Karacaer,Tuğrul KARACAER,143014,101
427667890724620,Tarkan Akıllı,Tarkan Akıllı,142250,79
112065760445212,Muhammed Aydoğar,Muhammed Aydoğar,141624,36
207094119145820,Onur Yiğit,Onur Yiğit,141533,61
245348801994181,İRFAN Kederoğlu,İRFAN KEDEROĞLU,141404,91
362110253924146,Hasan Tahsin Usta,Gaziosmanpaşa Belediyesi,141073,38
1968422403371242,Mükerrem Tollu,Mükerrem Tollu,139447,130
1186117434829744,Alper YEĞİN,Alper YEĞİN,139369,38
107919001116994,Mesut Ergin,Mesut Ergin,139196,154
172312959454958,Mustafa Sarıgül,Mustafa Sarıgül,138838,107
1493744950841097,Kınık Belediyesi,Sadik Dogruer,138284,369
104203362307065,Burak Hasar,Burak Hasar,136573,7
