Page ID,Page name,Disclaimer,Amount spent (BAM),Number of ads in Library
544274542414488,СДС Котор Варош - SDS Kotor Varoš,Wizard Media,230,3
1637100656579044,Began Muhić - v.d. gradonačelnika Živinica,Began Muhić - v.d. gradonačelnika Živinica,230,3
493542940657979,Naša stranka,Edin Forto,229,9
1680854208816381,Sandra Imširović,IT TECH doo,229,12
622405341264494,Stranka za BiH Čelić,Emir Malkić,228,16
470001013188885,Elvis Vreto,Elvis Vreto,227,5
9659541299,Radio Sarajevo,These ads ran without a disclaimer,227,25
106625227849078,Željko Babić,These ads ran without a disclaimer,227,1
105767481295394,Ahmed Kosovac,Ahmed Kosovac,227,14
113615355316959,WIRED UK,These ads ran without a disclaimer,227,14
433939419959913,SDP Zenica,Almir Babajić,225,19
100341382977940,Arnaut Almir Beli-kandidat za gradonačelnika grada TUZLE.,Almir Arnaut,225,4
107246372141676,Amin Đulabić,Amin Đulabić,223,3
1943299705882249,Šuhret Fazlić,Šuhret Fazlić,220,3
100286302835901,Irena Joldžić,Grape,220,8
101965779333695,Boris Krešić,IT TECH doo,220,12
102556665944691,Nikola Savić,Nikola Savić,218,10
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,213,18
100585085067739,Arman Zalihić,Arman Zalihić,213,12
112059338137306,Grand Slots,These ads ran without a disclaimer,213,1
101407475469427,Spahija Kozlić,eXtreme NET,213,6
103563635543130,Aldin Džino,Aldin Džino,211,6
740954555997446,SDA Jablanica,SDA Jablanica,211,20
110067298264106,BH dnevnik,DEV DOT,209,3
108297915356123,Ivana Mijatović,IT TECH doo,206,11
530778177054113,Edita Đapo,Edita Đapo,204,5
782399972094390,Nihad Čolpa,Nihad Čolpa,198,4
455276054612984,OO SDA Travnik,OO SDA Travnik,198,51
172913682829340,SDA Mostar,Almina Bajramović,196,18
103201712554292,Jusuf Halilovic,Jusuf Halilovic,193,7
143109626072730,PDP Srbac,Goran Marić,191,9
1283164285046216,Fuad Kasumović,072media,190,2
461510804325299,Irfan Halilagić,Irfan Halilagic,188,7
111162291568245,Nijaz Helez,OO SDP BiH BUGOJNO,188,13
79806577607,Senad Šepić,Senad Šepić,184,5
106745388847607,Radmil Marić - Радмил Марић,Nenad Puhalo,184,2
1375687112479003,Др Цвијетин Лукић/ Dr Cvijetin Lukić,DNS,184,3
111111728407710,Edim Edo Šator,Edim Šator,183,2
272155792896799,HDZ BiH Busovača,HDZ BiH Središnja Bosna,181,14
1393243447583762,Đuzić Amra dipl.soc.radnik,Sanel Duzic,181,8
715558361833019,Faruk Hodžić,Faruk Hodzic,181,3
108481354362036,Alen Kapkovic GV,Alen Kapkovic,177,1
1351291798347677,Selim Bešlagić,Digitalk,177,2
577929162315597,Jasmin Duraković,Jasmin Duraković/DEPO,177,3
711227835645999,Judo Klub Borsa Mostar,Judo Klub Borsa Mostar,177,3
100385516174637,Zlatko Kravić,Zlatko Kravic,177,2
105640577941074,Др Мирјана Орашанин - Dr Mirjana Orašanin,Wizard Media,177,1
102978625924006,Небојша Дринић - Nebojša Drinić,Небојша Дринић,177,2
104138845736466,Nenad Lalović - Ненад Лаловић,Nenad Lalović,176,7
719648724875491,princip.news,princip.news,176,4
1637100656579044,Began Muhić - v.d. gradonačelnika Živinica,Began Muhić - v.d. gradonačelnik Živinica,175,6
103345525852186,Doc.dr. Nedžada Tolja,Nedžada Tolja,172,10
91224126447,Bisera Turkovic,Bisera Turkovic,172,1
103635619301426,Adnan Šerak,Jasmin Ademovic,172,2
105398412315049,Đemal Bilanović kandidat za Skupštinu SBK,Djemal Bilanovic,172,3
100472405299298,Mimo Defi,These ads ran without a disclaimer,170,1
103206625116817,Младен Тепавчевић - Mladen Tepavčević,Mladen Tepavčević,169,6
126281004226405,PDP Brčko - ПДП Брчко,PDP Media team,168,6
378679462283933,Kenela Zuko SDA - Zastupnica u Predstavničkom domu Parlamenta FBiH,Kenela Zuko,167,11
100337704927225,Dučić Arslan,Arslan Ducic,164,13
2023352371243716,Vildana Bešlija,Vildana Bešlija,164,14
101122508417731,Edin Bunda,Edin Bunda,163,11
119908799845456,Enver Hadžiahmetović,Faris Garib,162,2
270608993575286,Amila Hodžić,Fatima Mehmedović,162,7
2242223899332983,Ćamil Duraković,Ćamil Duraković,161,4
493148424060800,Amel Lizde,Amel Lizde,159,9
578003379282106,Adnan Efendić,Jasminko Ibraković,159,4
143699145672946,Centri civilnih inicijativa (CCI),Centri Civilnih Inicijativa,158,6
538327096305394,Osvit-Radio Zvornik,Zorana Petković,158,6
103041852538325,Ognjen Vukojević - Огњен Вукојевић,Ognjen Vukojević,156,7
103506949172188,Petar Jakic,Petar Pepi Jakic,156,5
