Page ID,Page name,Disclaimer,Amount spent (AED),Number of ads in Library
106936058834145,ClimaTech Run,These ads ran without a disclaimer,≤100,1
106899387424866,Quick collection,These ads ran without a disclaimer,≤100,1
722299324822298,د. يوسف النوحي,These ads ran without a disclaimer,≤100,1
100909309504693,bin_tannaf,These ads ran without a disclaimer,≤100,1
101952905917214,Temple Of Praise Int'l Dubai,These ads ran without a disclaimer,≤100,1
105936608456271,Rovatti gifts,These ads ran without a disclaimer,≤100,3
107203148110541,Action Speaks Louder,These ads ran without a disclaimer,≤100,2
571018649628422,Eqtisadona  اقتصادنا,These ads ran without a disclaimer,≤100,2
241966809190130,Smart Vision,These ads ran without a disclaimer,≤100,1
132819526758532,Siemens Healthineers,These ads ran without a disclaimer,≤100,1
976747679126523,وجوهه قبيلة الشامسي,These ads ran without a disclaimer,≤100,1
105221635671344,Mr Alaa,These ads ran without a disclaimer,≤100,1
141108216058737,مؤسسة محمد بن راشد آل مكتوم للمعرفة,These ads ran without a disclaimer,≤100,5
353543721994620,Councillor promotion link,These ads ran without a disclaimer,≤100,12
730234677037530,جراتسيا تورز - Gratsia Tours,These ads ran without a disclaimer,≤100,1
102827082698458,المستشارة القانونية بتول عرابي,These ads ran without a disclaimer,≤100,1
109033362026790,Mariam Em,These ads ran without a disclaimer,≤100,1
166185133486737,Visit Abu Dhabi,These ads ran without a disclaimer,≤100,1
375842296234874,عطاءات العلم,These ads ran without a disclaimer,≤100,1
100247255984859,الإرتقاء,These ads ran without a disclaimer,≤100,1
104529522556277,Brighter Uni,These ads ran without a disclaimer,≤100,1
111783008404135,Thengil Mohammed Andathode,These ads ran without a disclaimer,≤100,3
101777272522766,Midar.net,These ads ran without a disclaimer,≤100,3
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,≤100,5
367955320621368,Unity Real Estate,These ads ran without a disclaimer,≤100,1
110179401970527,News Now27,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,8
101923404575701,Little Havana Dubai,These ads ran without a disclaimer,≤100,1
102082329051496,The Club,These ads ran without a disclaimer,≤100,1
366107457198874,Rise of Kingdoms,These ads ran without a disclaimer,≤100,1
101930229023357,Bar Buci,These ads ran without a disclaimer,≤100,2
421320345307555,SORP - Платформа для бизнеса,These ads ran without a disclaimer,≤100,5
106794852242679,الشيخه منال بنت محمد بن راشد آل مكتوم,These ads ran without a disclaimer,≤100,1
104681222561202,_ycc3,These ads ran without a disclaimer,≤100,1
103977015793836,"سقي الغيث لحفر الآبار _alghaith """,These ads ran without a disclaimer,≤100,3
100165812871551,dicewih281,These ads ran without a disclaimer,≤100,2
1951056435194177,Independent Persian,These ads ran without a disclaimer,≤100,2
107033945115331,Edinykilos,These ads ran without a disclaimer,≤100,1
1065631633538453,Physicians Across Continents,These ads ran without a disclaimer,≤100,7
107463851696057,kanjer.uae,These ads ran without a disclaimer,≤100,2
205617032819160,Dubai Culture & Arts Authority,These ads ran without a disclaimer,≤100,1
106235965464903,GITEX Impact,These ads ran without a disclaimer,≤100,1
1517088885216557,AIG,These ads ran without a disclaimer,≤100,8
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,11
103376092198711,Economy Middle East,These ads ran without a disclaimer,≤100,1
315603771494,Milaap,These ads ran without a disclaimer,≤100,23
845039715506074,Anything Canada,These ads ran without a disclaimer,≤100,1
105308238055459,حمد وديمة,These ads ran without a disclaimer,≤100,2
64588666340,Haaretz.com,These ads ran without a disclaimer,≤100,1
198398326957053,Shree Krishnayan Desi Gauraksha Avam Golokdham Sewa Samiti,These ads ran without a disclaimer,≤100,3
984198795098642,هيئة الشارقة للتعليم الخاص,These ads ran without a disclaimer,≤100,5
34440108608,Net Impact,These ads ran without a disclaimer,≤100,19
109804718490788,ReBuild Ukraine,These ads ran without a disclaimer,≤100,2
101567046064360,Aмna',These ads ran without a disclaimer,≤100,1
100471412651941,will.travel4art,These ads ran without a disclaimer,≤100,1
103287092377080,Doctors Without Borders/Médecins Sans Frontières,These ads ran without a disclaimer,≤100,1
109651847558666,Almnii Consulting Management and Training,These ads ran without a disclaimer,≤100,2
191147204407115,International Task Force on Teachers for Education 2030,These ads ran without a disclaimer,≤100,1
2107526142866740,ایرانیان امارات,These ads ran without a disclaimer,≤100,1
389831551149929,Connetics USA - Nursing,These ads ran without a disclaimer,≤100,1
611920505589975,Entry Test Quiz,These ads ran without a disclaimer,≤100,1
102932168487621,متجر الخليج العربي,These ads ran without a disclaimer,≤100,2
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,9
837943049563609,EtihadWE,These ads ran without a disclaimer,≤100,3
187021638537131,Naeel Art,These ads ran without a disclaimer,≤100,1
109959131675859,تأملات فكرية - أحمد مصطفى لطيف,These ads ran without a disclaimer,≤100,2
102942387875682,زَانْ Zaan.ae,These ads ran without a disclaimer,≤100,1
106590092289090,daily_waily_,These ads ran without a disclaimer,≤100,1
706061016415258,Organic & Natural Expo Dubai,These ads ran without a disclaimer,≤100,2
191399134327652,aramco,These ads ran without a disclaimer,≤100,3
200513543651482,Agnes Bethel,These ads ran without a disclaimer,≤100,1
101589856055514,dawipo9029,These ads ran without a disclaimer,≤100,2
103136872646784,smae_award,These ads ran without a disclaimer,≤100,1
379592699288721,Firas Al Nimri - فراس النمري,These ads ran without a disclaimer,≤100,2
108671038670243,solig31220,These ads ran without a disclaimer,≤100,2
101733405842821,الابرار لحفر الابار وبناء المساجد,These ads ran without a disclaimer,≤100,1
102860875465067,New Marco Polo,These ads ran without a disclaimer,≤100,2
101576172735137,Al madina pak Dorbar,These ads ran without a disclaimer,≤100,1
114414808235140,BSCKll - Nguyễn Hồng Siêm,These ads ran without a disclaimer,≤100,2
2009537142645901,2018 عام زايد,These ads ran without a disclaimer,≤100,1
100763079070975,البراري للخدمات المتكاملة,These ads ran without a disclaimer,≤100,1
104035911692079,Life Changing Opportunity,These ads ran without a disclaimer,≤100,1
874626875910047,Initiative Management Consultancy - IMC,These ads ran without a disclaimer,≤100,2
101053566259590,Rabdan UAE,These ads ran without a disclaimer,≤100,1
2174675366185256,Madrasah Fathimatuz-Zahra,These ads ran without a disclaimer,≤100,1
109391388543268,Mariana Alves,These ads ran without a disclaimer,≤100,18
442220656630544,e_p_gents_tailoring,These ads ran without a disclaimer,≤100,1
105917578967099,_rak7,These ads ran without a disclaimer,≤100,1
100425346267482,Nature cook,These ads ran without a disclaimer,≤100,1
109921635069092,Jusoor Post En,These ads ran without a disclaimer,≤100,12
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,39
