Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
101499834922284,Centro Cultural de Idiomas,These ads ran without a disclaimer,1401,3
103767918515958,Msc. Abraham Elías Solano Ledezma,These ads ran without a disclaimer,1341,3
1803279899993382,"Ni Una Palmadita, Fernanda Restrepo",These ads ran without a disclaimer,1330,4
106529265378906,Despacho Diputado Manuel Morales Díaz,These ads ran without a disclaimer,1321,1
2284174421842258,Parauniversitario American Business Academy,These ads ran without a disclaimer,1305,1
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,1277,16
338109312883186,China Xinhua News,These ads ran without a disclaimer,1266,48
100344592619224,CICEC,These ads ran without a disclaimer,1256,1
150248472062977,Maestría en Economía del Desarrollo,These ads ran without a disclaimer,1244,1
116101581368158,wearecrazyenough,These ads ran without a disclaimer,1189,1
398213773584498,Rankia Chile,These ads ran without a disclaimer,1189,1
254618767994526,DAVID TESTAL,These ads ran without a disclaimer,1189,1
104401217909899,RoboForex,These ads ran without a disclaimer,1189,7
101155476033811,Somos Cambio,These ads ran without a disclaimer,1186,36
505444766161782,Gerald Murray Diputado 2022 - 2026,These ads ran without a disclaimer,1158,1
1870993032964453,226ers Costa Rica,These ads ran without a disclaimer,1077,1
1633806573502821,Renovemos Alajuela,These ads ran without a disclaimer,1077,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,1077,8
105355401946440,Sandro Inversor,These ads ran without a disclaimer,1077,3
960819660657427,Facio & Cañas,These ads ran without a disclaimer,1077,2
111501216920024,Ocean Mi Amor,These ads ran without a disclaimer,1077,1
357764431229,Center for Justice and International Law-CEJIL,These ads ran without a disclaimer,1077,1
105843615695667,Oscar H. Ortega,These ads ran without a disclaimer,1077,1
293468087920176,Adriana Perez,These ads ran without a disclaimer,1052,2
274138756817,Architonic,These ads ran without a disclaimer,1047,2
100394545298791,avillasantel,These ads ran without a disclaimer,1046,1
299756937371188,Cristian Valverde,These ads ran without a disclaimer,1037,1
953657811446042,Conciencia Nacional por la Libertad Religiosa,These ads ran without a disclaimer,1002,1
123241488378964,Ariel Robles Barrantes,These ads ran without a disclaimer,1000,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,999,13
105241828910724,Avanza+,These ads ran without a disclaimer,995,1
933310850194959,Israel Alliance,These ads ran without a disclaimer,991,6
101801685891012,Revista Knowable,These ads ran without a disclaimer,980,4
8539814909,International Animal Rescue,These ads ran without a disclaimer,943,9
105171074652419,Soul Community Planet,These ads ran without a disclaimer,937,1
420916501408724,Smart City Expo Latam Congress,These ads ran without a disclaimer,923,2
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,921,63
1465646276779035,Los Secretos Judíos,These ads ran without a disclaimer,919,5
664512630370460,KTH Infinite,These ads ran without a disclaimer,915,1
1913428535542877,"Mario León, escritor",These ads ran without a disclaimer,908,2
753990174744571,José Hernández Abogado CR,These ads ran without a disclaimer,902,1
1482174305394430,el pupitre de Pilu,These ads ran without a disclaimer,892,5
597425313724844,Encora Jobs,These ads ran without a disclaimer,892,8
800813003291682,Luv.it,These ads ran without a disclaimer,875,2
276474589059952,Voces Nuestras,These ads ran without a disclaimer,871,1
240543419357461,Eco Centro Educativo Braulio C.,These ads ran without a disclaimer,841,2
111361091313,NICABM,These ads ran without a disclaimer,836,31
97320092545,PAHO-WHO,These ads ran without a disclaimer,835,1
391387864969982,Prisoners Defenders,These ads ran without a disclaimer,816,4
19746387261,Humane Society International,These ads ran without a disclaimer,808,14
1484031468591827,nexos+1,These ads ran without a disclaimer,798,16
105426172254117,brave_sinergy,These ads ran without a disclaimer,795,1
1428408544046887,Flacso Uruguay,These ads ran without a disclaimer,792,4
1624292084456652,Vista Mar Marina,These ads ran without a disclaimer,792,1
115655308780656,LEAD University,These ads ran without a disclaimer,781,1
340992532647246,cosmeticosalpormayor.com,These ads ran without a disclaimer,781,1
179808898886419,HUB ilab,These ads ran without a disclaimer,778,3
1359136157453700,Bere Ramos,These ads ran without a disclaimer,762,6
101658045137649,El Guardián CR,These ads ran without a disclaimer,761,1
115009537479523,Ada Gonzalez,These ads ran without a disclaimer,754,2
111160730747637,Trivia Stars,These ads ran without a disclaimer,749,2
196949961092706,Estado De Derecho,These ads ran without a disclaimer,742,1
34440108608,Net Impact,These ads ran without a disclaimer,733,15
101978933230493,DHL,These ads ran without a disclaimer,725,2
494354027360929,Dirección de Educación Continua Pontificia Universidad Javeriana Bogotá,These ads ran without a disclaimer,700,1
317138785672935,VOX Costa Rica,These ads ran without a disclaimer,695,1
1185554848242437,Travelers With Cause,These ads ran without a disclaimer,680,1
453693205090543,Revista Lo que Dice La Gente,These ads ran without a disclaimer,678,1
110979294923104,Secretos de la Música,These ads ran without a disclaimer,668,2
106086715152776,Encuentro Conmigo,These ads ran without a disclaimer,658,1
1658207014461764,Movimientos del Alma,These ads ran without a disclaimer,657,1
1556481434584901,Paul Xavier,These ads ran without a disclaimer,652,1
