Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
100188219465134,Senador Derlis Osorio,Senador Derlis Osorio,5000000,19
591005821010442,Raúl Latorre,Edgar Xavier Sosa Reyes,4999999,4
107397668524332,Movimiento Pasión por el Cente,Noollab,4999982,4
109693841162896,Silvia Mendieta Concejala,Maira Margarita Maciel Ferreira,4955060,38
107038818726605,Alianza Encuentro Nacional,PautaPY,4940866,8
222961017827862,Edgar Olmedo,Edgar Olmedo,4913707,35
105902187763083,Edgar A. Colmán - Ministro de la Juventud,Edgar Colmán,4908471,23
103759862278474,Victor Miranda Py,ASP Marketing Paraguay,4893333,33
107706177740738,Periodismo 29,Periodismo29,4880844,63
108839041769929,José López,Hugo Alfonso Aquino Diaz,4876086,35
397788123735216,Pey Vargas,Pedro Jose Emmanuel Vargas Carnibella,4848427,98
483666425147964,Richard Ramirez,Richard Rolando Ramirez Rodriguez,4844518,131
1578664545555777,Oviedo Matto,Vero Martinez Riveros,4844383,29
103681832340596,Kpeto Cano,Eusebio Vera,4815226,17
106283817615510,Jorge Medina 2021,Darla Raquel Coronel Medina,4762389,15
139831670080699,Jose Castillo,Denis Romero,4745434,13
2498041723587745,Colym Soroka,DGWorld,4728855,19
446986732060546,ROSA BELLA Cáceres,Antonio Villalba Caceres,4667184,50
109071601870453,Leandro Prieto Ruiz,Leandro Jose Prieto Ruiz,4661168,14
125314197496488,Carlos Filizzola,Carlos Filizzola,4657909,85
263037407490496,Édgar López Senador,Christian Guillermo Vazquez Sanchez,4650128,47
110324011295149,Central Unidos - Paraguayos Unidos - Cruzada Nacional,Jorge Danel Guimaraes Fernandez,4629817,20
359307964420456,Terere Cómplice,Meli Olavarrieta,4618496,76
102939495263909,Edward Grande,Edward Carlos Grande Torres,4595513,63
107351575426755,Dani Arce Senador,Victor Daniel Arce Gonzalez,4575309,15
109041755331821,Abg. Esther Roa,Maria Esther Roa De Espinola,4552049,46
121859950827147,Pedro Ferreira,Clelia Andrea Eloisa Balbuena Lomaquis,4528207,11
106797564576990,Pablo Novosad - Concejal Municipal,Pablo David Novosad Paszniuk,4523408,60
272098156231873,Diario HOY Paraguay,Diario HOY Paraguay,4518249,25
1001081743257163,Johnnie Walker,These ads ran without a disclaimer,4501377,2
1076188112409030,Dip. Carlos Enrique Silva,Central CTL,4487691,84
108395441359018,Enrique Cosp,Partido Democrático Progresista,4482102,13
1400435643512142,Lambaré,Alberto Claus Sternke Stern,4436584,3
104430091943649,Juan Manuel Del Puerto. Senador 2023,Verenis Liliana Raquel Araujo Rojas,4430575,41
