Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
104483202302183,くりした善行広報,秀輔 小泉,500000,3
108686521679588,first.artmake,These ads ran without a disclaimer,497395,3
1998874787007240,沖縄県選挙管理委員会,沖縄県選挙管理委員会,491446,17
165039663531531,Minecraft,These ads ran without a disclaimer,489905,6
209750526243363,日経BP総研 未来ラボ,These ads ran without a disclaimer,487081,2
322504871237652,シミック・アッシュフィールド,These ads ran without a disclaimer,486008,6
102020852011806,自民党広島県参議院選挙区第一支部,自民党広島県参議院選挙区第一支部,485951,2
468149989932273,島根県選挙管理委員会,株式会社リステップ,485092,6
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,477851,75
100385969398660,治療家大學,These ads ran without a disclaimer,466459,37
1144322309011646,進学・キャリア情報,These ads ran without a disclaimer,465968,28
105561745477856,みやざき勇（宮崎 勇）,みやざき勇事務所,462258,74
1026259590838613,常陸大宮市役所,常陸大宮市,456535,12
110509720774585,とみしま純一後援会 純政会,とみしま純一後援会 純政会,456460,24
110559151775747,2022福岡市長選挙,選挙管理委員会事務局 選挙課,455000,1
109692467055125,モカチップ,These ads ran without a disclaimer,454424,1
439050229573723,末日聖徒イエス・キリスト教会,These ads ran without a disclaimer,452603,2
156685281350568,日本デザインスクール,These ads ran without a disclaimer,450219,9
389648674469588,鹿児島県選挙管理委員会,鹿児島県選挙管理委員会,447791,9
1475118952818105,"Urbans ,LLC",These ads ran without a disclaimer,443662,4
107360911661876,神戸市選挙管理委員会,佐々木 博章,439978,8
270756506710592,Cake.jp【ケーキジェーピー】,These ads ran without a disclaimer,439549,1
414454841912144,小林しげき,小林茂樹事務所,437296,20
100104578559800,The Photography Deck JP,These ads ran without a disclaimer,426729,3
128455130600150,日本成人病予防協会,These ads ran without a disclaimer,424903,48
111573004318464,UScan - Mobile Document Scanner,These ads ran without a disclaimer,420883,50
1011941948845415,サイコミ,These ads ran without a disclaimer,413233,1
203364246441753,日経ＣＮＢＣ（nikkei cnbc）,These ads ran without a disclaimer,411388,24
103861446367858,ラディアンス,These ads ran without a disclaimer,410906,9
2040293136011443,カンサイ建装工業株式会社,These ads ran without a disclaimer,408539,8
100896472589036,株式会社ボルテックス,These ads ran without a disclaimer,408507,14
200480966638039,Supremacy 1914,These ads ran without a disclaimer,406546,3
106942698264141,It'S SKIN Japan,These ads ran without a disclaimer,404966,2
102176744910252,石井 たかかず,石井隆一後援会,404035,14
106300027813575,みんなで鯖江をつくる会,みんなで鯖江をつくる会,401707,25
104421991171962,JMA Garage,These ads ran without a disclaimer,401033,25
821484197873625,外車王,These ads ran without a disclaimer,400493,1
772910189430139,テレ東BIZ（テレビ東京ビジネスオンデマンド）,テレビ東京,400000,1
819272734776033,兵庫県選挙管理委員会,兵庫県選挙管理委員会,400000,9
105190364351696,Abuild 就活,These ads ran without a disclaimer,399527,17
108985880983691,あなうま,These ads ran without a disclaimer,398580,10
1447225732159411,公明党静岡県本部,公明党,396343,19
100264156173661,売れるTwitter導入セミナー,These ads ran without a disclaimer,393990,2
106948511593231,郷原信郎,郷原信郎,390482,9
275005077647370,愛媛県選挙管理委員会,愛媛県選挙管理委員会,385494,2
110092861681841,自由共和党,自由共和党,384147,3
103414291470844,トランプ·ディフェンス,These ads ran without a disclaimer,380959,6
100180628801705,JVM Academy【経営者の帝王学】,These ads ran without a disclaimer,380619,3
544702409046206,手相の見方大事典テソペディア,These ads ran without a disclaimer,377423,11
113784721685783,チーム北区みらい／東京都北区,Satomi Ichikawa,377269,12
284605801694779,EVsmart,"アユダンテ株式会社　Ayudante, Inc.",375879,58
147364968734816,224 porcelain shop,These ads ran without a disclaimer,371504,2
107485467256196,Apropどこでも登記情報確認サービス,These ads ran without a disclaimer,366267,7
104866391876685,参議院議員 岡田直樹,岡田直樹事務所,364758,4
1799455583663331,カラクリ株式会社,These ads ran without a disclaimer,364226,2
106348998919075,大阪府民共済生活協同組合,These ads ran without a disclaimer,363693,2
365631213857798,株式会社地方創生テクノロジーラボ,Atsushi Tomizawa,362446,14
103921962501743,こまざき美紀,こまざき美紀,358021,30
1587231361553129,FXブロードネット,These ads ran without a disclaimer,356586,4
227502034041093,外壁塗装の窓口,These ads ran without a disclaimer,356036,72
183212708389424,衆議院議員 げんまけんたろう（源馬謙太郎）静岡8区,源馬謙太郎,355028,37
101842825900401,岡山県選挙管理員会,岡部泰知,354177,4
603731356470113,関西学院大学　診療所を中核とした地域医療経営人材育成プログラム,関西学院大学専門職大学院　経営戦略研究科,352456,10
108307057721372,株式会社バンカーズ,These ads ran without a disclaimer,348703,11
110981267342423,Newans,These ads ran without a disclaimer,348523,22
109760801771369,橋本 みきひこ,橋本 みきひこ,347793,47
109928068682116,長野県選挙管理委員会,長野県選挙管理委員会,344876,12
440800356264274,一般社団法人メディカルヒーリング協会,一般社団法人メディカルヒーリング協会,343261,11
435250336532462,財界さっぽろ,Daisuke Shimizu,339991,33
104062973021500,Sony Group - Global,These ads ran without a disclaimer,339945,3
200121530091286,いただきへの、はじまり　富士市,富士市,338496,28
738496630195351,いわて飲食店安心認証事務局,いわて飲食店安心認証事務局,337819,3
113446463747047,マイナポイント事業,These ads ran without a disclaimer,337063,1
237437849777684,佐賀県選挙管理委員会,佐賀県選挙管理委員会,335133,54
108207524667538,いがり謙二（猪狩謙二）,いがり謙二,334364,21
10606591490,TIME,These ads ran without a disclaimer,333599,29
106489258987363,名古屋市・愛知県議会議員選挙啓発アカウント,名古屋市選挙管理委員会事務局,333332,4
100701502696510,自民党東京都参議院比例区第87支部,自民党東京都参議院比例区第87支部,331400,3
112085650654656,都庁職病院支部（都立・公社病院などで働く人の労働組合）,Takuma Shogaki,331088,17
184680328315953,ビーレジェンド プロテイン,These ads ran without a disclaimer,329739,1
105798115219346,公明北陸,公明党,328842,38
110293214017484,選挙ドットコムウェビナー,ichini.Inc,328112,15
1020672007982034,東宝ハウス練馬,These ads ran without a disclaimer,327565,6
107016781475591,宮口はるこ事務所,昭一 高橋,326655,6
105817000162440,大分県選挙管理委員会,大分県選挙管理委員会,326593,35
106309682126339,メタバリアプレミアム通信／富士フイルム,These ads ran without a disclaimer,322423,10
125647302339303,岡山県選挙管理委員会2021,佐々木 博章,320000,2
541566659248038,川前みつのりWeb,Mitsunori Kawamae,318437,21
108275474653120,ノバセル by ラクスル,These ads ran without a disclaimer,317993,4
107242578543148,法務省委託　人権啓発PR,These ads ran without a disclaimer,317105,24
108380060560595,500円からのチャット占いミラー,These ads ran without a disclaimer,316807,3
104661731485982,Flyle,These ads ran without a disclaimer,313646,9
147143172017822,美容皮膚科　フェミークリニック,These ads ran without a disclaimer,312489,2
100389778347818,おおさか調査委員会,都構想調査委員会,309499,18
101771497863522,採用DXなら「harutaka」,These ads ran without a disclaimer,307296,11
118002740899197,ブックライブ fun,These ads ran without a disclaimer,305174,3
104050145078883,脱炭素ならスイッチビズ,株式会社グッドフェローズ,303017,22
179177225786888,前衆議院議員　松尾あきひろ　東京都第2区（中央区・港区・文京区・台東区）　立憲民主党,明弘 松尾,301336,14
115001374867292,福井県選挙管理委員会事務局,福井県選挙管理委員会,300000,3
275005077647370,愛媛県選挙管理委員会,株式会社エス・ピー・シー,300000,10
117914038333112,自由民主党 大阪府支部連合会,自由民主党大阪府支部連合会,300000,1
1931657160431977,税理士法人ネイチャー,These ads ran without a disclaimer,299613,88
275005077647370,愛媛県選挙管理委員会,セーラ―広告株式会社,298471,1
103711828743336,Beauty_imini,These ads ran without a disclaimer,297675,2
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,293473,4
433731583420790,Princess Patsy,These ads ran without a disclaimer,292554,6
130270343843756,岩手県選挙管理委員会,岩手県選挙管理委員会,287389,8
140022616125412,株式会社クリエル,株式会社クリエル,285225,45
102869212751647,WINDSCELL by アイシン,These ads ran without a disclaimer,283595,1
112250785160571,佐賀県議会議員選挙2023,佐賀県選挙管理委員会,280000,2
270374753708646,ママとこどものはいしゃさん　グループ本部,These ads ran without a disclaimer,277994,1
106594575149661,横浜市立大学 Yoxoカレッジ,These ads ran without a disclaimer,275188,1
1397074863864450,Fair Finance Guide Japan,Fair Finance Guide Japan,275000,23
109711718157306,宮崎市が、変わる。2022.1,小野晋太郎,274781,17
753872948035299,生和コーポレーション株式会社,These ads ran without a disclaimer,274432,13
620336818042680,太陽歯科衛生士専門学校,These ads ran without a disclaimer,271817,6
104480918173191,かず｜慶應卒起業家,These ads ran without a disclaimer,271160,9
202026293187145,鯖江市地域活性化プランコンテスト,特定非営利活動法人エル・コミュニティ,270163,25
291581417946447,入江のぶこ【東京都議会議員/港区選出】,智貴 中山,270142,10
106343184534693,ソーシャル政策メディア Publingual,株式会社Publink,267458,30
102550395105059,美脚メソッド,These ads ran without a disclaimer,265313,3
498461000293148,マイナビ学生の窓口,新潟県選挙管理委員会,262611,44
102147725705531,大石けんご,大石けんご後援会,262307,2
113555245394488,桜内 文城（衆議院議員）,Fumiki Sakurauchi,260852,12
100624135132744,Agaスマクリ,These ads ran without a disclaimer,260614,3
1750145328629888,総合型選抜専門塾 ＡＯＩ,These ads ran without a disclaimer,260609,6
106491264948353,みんなのさいたま市をつくる会,みんなのさいたま市をつくる会,259883,2
157460348005199,Nelture,These ads ran without a disclaimer,259129,1
253264005099427,世田谷区,世田谷区,258511,1
737703696419289,MIRAP - ミラップ,These ads ran without a disclaimer,257131,8
