Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
180312542092997,Nordfyns Højskole,Nordfyns Højskole,134257,97
33588644626,World Animal Protection Danmark,These ads ran without a disclaimer,133590,118
591683257511399,Sprøjtefri - Nej til sprøjtegifte i haven,VPU - Vandværkerne i Aarhus,133054,79
358828094665364,Mia Tang,Mia Tang,132814,254
177609692660255,Niels Flemming Hansen,Hansen Niels Flemming Schultz,132447,139
148900938515423,Sofie Carsten Nielsen,Radikale Venstre,131685,111
799753056713196,Lars Sandahl Sørensen,Dansk Industri - DI,129608,203
77420716648,Energiselskabet Natur-Energi,Energiselskabet Natur-Energi,129553,92
36730930417,Margrete Auken,Margrete Auken,128831,41
1688214178159008,BARONS,BARONS,128496,39
1246666085407861,Karsten Hønge,SF,128314,196
2079067062409423,Mona Juul,Mona Juul,128224,251
112229035481469,HK Danmark,HK Danmark,127957,52
164203730418041,Tommy Hummelmose,Hummelmose Tommy,127234,136
134276271384291,365discount,Coop365,126733,7
599763040213164,Radius Elnet,Radius Elnet,124990,6
106740342326399,Klimaklar Produktionsvirksomhed,Klimaklar Produktionsvirksomhed,124272,58
121660121250866,Spar Nord Fonden,Spar Nord Fonden,124238,98
112613428815157,CEPOS,CEPOS,123426,604
100836634954174,SletDet,Red Barnet,122709,73
495133504196581,Jan Nymark Thaysen,Jan Nymark Thaysen,122615,25
28159151157,FOF København,FOF København,122516,224
1104790642968068,Peter Seier Christensen,Nye Borgerlige,122236,148
141378109375840,Bergur Løkke Rasmussen,Bergur Løkke Rasmussen,121913,100
188067981214220,Forskningens Døgn,Uddannelses- og Forskningsministeriet,121472,71
110269115021246,Chris Preuss,Chris Holst Preuss,121446,100
107321204072537,DoLand,DoLand,121255,186
433788933422274,Avisen Danmark,Avisen Danmark,121182,41
429072850823476,Akademikerne - AC,Akademikerne,121003,197
718327901589937,Mette Thiesen,Nye Borgerlige,120872,228
674034729594774,Nikolaj Bøgh,Nikolaj Bøgh,120190,205
10248811705,Roskilde Festival,Roskilde Festival,118646,44
1522666927799763,BCG in Denmark,Boston Consulting Group,118201,427
167412043730,Venstres Ungdom - VU,Venstres Ungdom,116710,90
278077812793440,Den Grønne Ungdomsbevægelse,Den Grønne Studenterbevægelse,116261,154
1480768582181666,Passagerpulsen hos Forbrugerrådet Tænk,Passagerpulsen hos Forbrugerrådet Tænk,116000,148
603931396702203,Kattegatforbindelsenejtak.dk,Kattegatforbindelse - Nej Tak,115890,46
623315704356818,Jacob Bundsgaard,Socialdemokratiet i Aarhus,115179,172
699619700116377,Sophie Løhde,Venstre i Egedalkredsen,115078,115
105171707636935,Movia,Movia,114999,2
221239504574504,Bo Godt,BeboerBladet,112708,785
301279783370957,Steen Holm Iversen,Steen Holm Iversen,112648,89
924692171033381,"UNHCR, FN’s Flygtningeorganisation","UNHCR, FN’s Flygtningeorganisation",112105,148
187552947958482,Danske Iværksættere - DKIV,Dansk Iværksætter Forening,111926,73
24352982198,Ida Auken,Ida Auken,111209,69
102900672020662,Iben Krog,Iben Krog,110612,114
119769598101853,Konservativ Ungdom,Konservativ Ungdom,110328,318
