Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
12173141558,Amanda Rishworth MP,Amanda Rishworth MP,49342,214
1300759363397798,Terry Young MP,Terry Young MP,49335,184
461218903956271,Sperm Donors Australia,Sperm Donors Australia,49236,171
165988000209270,Michael Sukkar MP - Member for Deakin,Michael Sukkar MP - Member for Deakin,49143,127
231952773568442,Berry Street,Berry Street,49102,234
33463928664,International Women's Development Agency - IWDA,These ads ran without a disclaimer,48999,224
426053167431275,HOPE - Preventing Euthanasia & Assisted Suicide,HOPE (Preventing Euthanasia and Assisted Suicide),48745,90
103700041946358,Penny Ackery for Hume,Penny Ackery,48743,168
316398288467492,Shooters Union Australia,Shooters Union of Australia,48523,45
261154783923486,Education WA,Public education in Western Australia,48424,14
133662923389141,Uniting Vic.Tas,Uniting Vic.Tas,48157,59
435229783989667,Top Tax Tips,These ads ran without a disclaimer,48067,27
144359238932636,Ambulance Employees Association,Ambulance Employees Association,48052,14
1414406035466037,Jeremy Rockliff,Tasmanian Liberals,48030,75
107765634022348,Henry Pike MP,Henry Pike MP,48018,146
419632568108398,Australian Citizens Party,Australian Citizens Party,47921,59
100677638663255,Tasmanian Forest Products Association,Tasmanian Forest Products Association,47912,137
109291028751528,Cyclion - Waste to Energy,Cyclion - Waste to Energy,47780,113
206261246078617,Origin Energy,These ads ran without a disclaimer,47673,14
111213120744151,Workers' Health Alliance,Together Queensland,47661,135
1767500736833451,Sustainable Population Australia,Sustainable Population Australia,47484,234
193115994042664,Local Government Association of Queensland (LGAQ),Local Government Association of Queensland (LGAQ),47473,10
144975872321975,Market Forces,Market Forces,47217,142
107728591594744,Sam Rae,Sam Rae,47055,325
117806591312470,Not Enough,Advance Australia,46859,67
102244348801110,"Georgia Steele, Independent for Hughes",Georgia Steele,46716,153
10852627380,World Animal Protection Australia,These ads ran without a disclaimer,46567,116
807722379247301,Clive Palmer,Clive Palmer,46263,6
798754616870434,Libby Coker MP,Libby Coker MP,46179,204
230032374595042,Helen Haines MP,Helen Haines MP,45820,213
276061352415442,The Australian Institute of Architects,The Australian Institute of Architects,45791,919
