Page ID,Page name,Disclaimer,Amount spent (NGN),Number of ads in Library
274952165916646,Phacoda Promotion of Human Aid and Community Development in Africa,Phacoda Promotion of Human Aid and Community Development in Africa,37873,8
149072268486202,"Society of Petroleum Engineers, Nigeria Council","Society of Petroleum Engineers, Nigeria Council",37800,2
56632622313,U.S. Mission Vienna,These ads ran without a disclaimer,37449,10
110151371700778,Bishop Dr. Sunday Ndukwo Onuoha,Bishop Dr. Sunday Ndukwo Onuoha,37271,16
104837258650769,Martha Agba,Martha Utsunung Agba,37268,6
101660089132919,Scanner,These ads ran without a disclaimer,37218,1
549902805058014,Gbadebo Rhodes-Vivour,Gbadebo Rhodes-Vivour,37209,1
103937487661032,Readytoleadafrica,ReadyToLeadAfrica,37209,5
108165847620952,Halimran printing,Enesi Audu Imrana,37189,15
110877148165820,Dr Dauda Lawal TV,Ayodeji Adeola Badru,36999,81
1238364489628128,Bree's Properties,These ads ran without a disclaimer,36892,1
31292782350,Deutschland.de,These ads ran without a disclaimer,36796,128
103004258030272,Imoh Inyangette,Imoh Inyangette,36698,18
103044911958849,Experiential Leadership Series in Africa,Ade Adeolu Adewumi,36660,4
108820175107975,Barr. Peremobowei Gita Campaign Organization,Moses Oyinkuro,36476,72
548855585503561,Panda-tut  Enterprises Limited,Panda-tut Enterprises Limited,36419,6
115589984824964,Enze Construction and Customization,These ads ran without a disclaimer,36260,1
100847148708960,Bello Ambassadors Network BAN,Bello Ambassdors Network - BAN,36201,6
113877501331090,Christian Aburime,Anthony Eri,36200,93
102452759210207,Foreign Investment Network,Foreign Investment Network,36034,1
103982044578001,nnamsobomb,nnamsobomb,36000,3
105143599185359,Igwe Nnamdi Michael,Igwe Nnamdi Michael,35948,6
398962274242486,Legit Portal,These ads ran without a disclaimer,35907,1
106900875202419,Newsflow.com.ng,newsflow,35854,24
101143449285086,The Political Cabal,Olufunke Esther Phillips,35542,3
257077681149008,Stanley Nsemo-Livingstone,Stanley Nsemo-Livingstone,35343,10
657249441092225,Free Turn Up Your Praise Ministry App,These ads ran without a disclaimer,35293,1
