Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
233704614051897,Rodrigo Valdivia Orias,Rodrigo Valdivia,534181,33
599562186892293,Gonzalo Martinez C,Gonzalo Alfredo Martinez Cornejo,533614,35
176877486233674,Jose Ignacio Mella,Jose Ignacio Mella Silva,532843,22
109190471519239,Camila Salas Consejera Regional,Camila Salas,532805,36
102690065202817,Juan Pablo Parada Concejal Independiente Lo Barnechea,Juan Pablo Parada Da Fonseca,532143,14
103660808747734,Mauricio Vergara Dazarola -CORE,Mauricio Segundo Vergara Dazarola,531683,15
1248359118652786,Esneca Business School - Latinoamérica,These ads ran without a disclaimer,531276,1
1567607313249689,Cristobal Martinez Diputado,Cristóbal Martínez,531198,1
103989112020663,Belén Burgos Roig,Belén Angélica Burgos Roig,531066,25
2352268038393649,Avila & Asociados Nicolas Avila,Avila & Asociados SPA,527807,2
121461912976844,Alcalde Oscar Calderón Sánchez,Alcalde Oscar Calderón Sánchez,527776,21
106959521214116,Carlos Alarcón Alcalde por Peñalólen,Carlos Alarcón,527589,48
273702249973927,Luz Espinal Moreno,Luz Janeth Espinal Moreno,527528,31
106606364805598,Claudia Delpin,Claudia Delpin Corssen,527378,28
526020020819547,Claudio Acuña Le Blanc - Consejero Regional,Claudio Patricio Acuña Le Blanc,526375,83
418281855197789,Democracia Cristiana,Ximena De Los Ángeles Gutiérrez Zuñiga,526069,21
293252577423721,Diputado Boris Barrera,Boris Anthony Barrera Moreno,525000,17
181998708340019,Pedro Ramírez Glade,Pedro Ramírez Glade,523886,43
1926692957560584,Eduardo Ocampo Castillo,Eduardo Antonio Ocampo Castillo,523153,15
100994165321039,Carla Ortiz - Concejala por Independencia,Bepop Consulting,522944,6
100424992107529,Javier Alvarez Cornejo,Javier Alfredo Álvarez Cornejo,522862,11
105260937711129,Avila & Asociados Javiera Azua,Avila & Asociados,521600,6
105423425922613,Es Tiempo de Ahorrar,Es Tiempo de Ahorrar,521409,71
542891569977155,Gustavo Espinosa Morales CORE provincia de Talagante,Sofia Salome Garrido Corvalan,521177,12
1690559311249290,Jorge Castilla Solis,Jorge Antonio Castilla Solis,520441,41
