Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
882291255303710,Pastor James MK,These ads ran without a disclaimer,870,1
111676108242057,capacitarparacuidar,These ads ran without a disclaimer,870,1
110828261551649,Origens,Origens,870,1
104263279219760,jose.maiandi,These ads ran without a disclaimer,870,1
190807747446252,Sénateur Paulo Tudilu,These ads ran without a disclaimer,870,4
1248633898533111,Serviços Facilitados,These ads ran without a disclaimer,870,1
105225628664809,Sonhi News,These ads ran without a disclaimer,870,1
105848558790469,"Word Office - Reader, Editor & Viewer",These ads ran without a disclaimer,870,1
147109888636038,Netafim,These ads ran without a disclaimer,870,8
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,870,54
106639795275428,Fundo De Fomento Habitacional,These ads ran without a disclaimer,870,1
100151016279664,CHW 2023 Symposium Liberia,These ads ran without a disclaimer,870,1
240804902460080,E-Livros Prime,These ads ran without a disclaimer,870,1
217712516932415,Vão Sabe Bem,These ads ran without a disclaimer,870,1
743275235823298,Rafael Massanga Savimbi,These ads ran without a disclaimer,870,1
102071544983120,Sara La belle Salão das Bonitas,These ads ran without a disclaimer,870,1
152438894618577,ประธานเหมียว,These ads ran without a disclaimer,870,2
349837788460874,CRI Kiswahili,These ads ran without a disclaimer,870,4
418775708189870,Social Movement Technologies,These ads ran without a disclaimer,870,3
102735769266821,MONDH Kwanza norte,These ads ran without a disclaimer,870,1
423726657659926,Menos Fios,These ads ran without a disclaimer,870,1
366107457198874,Rise of Kingdoms,These ads ran without a disclaimer,870,2
371227786709544,Refund Express LLC,These ads ran without a disclaimer,870,2
332261367118607,ONEzoom,These ads ran without a disclaimer,870,1
100894589162769,Jornal Digital,These ads ran without a disclaimer,870,2
109156838347948,Quitéria Guirengane,These ads ran without a disclaimer,870,1
367649046908008,Growatt New Energy,These ads ran without a disclaimer,870,3
933310850194959,Israel Alliance,These ads ran without a disclaimer,870,7
168914843124105,Online Shopping 23,These ads ran without a disclaimer,870,1
1473211179380654,Administração Municipal De Moçâmedes,These ads ran without a disclaimer,870,3
111783969059,Tony Robbins,These ads ran without a disclaimer,870,2
1555469698093975,Lil Maze,These ads ran without a disclaimer,870,1
111420540768706,Opinião Públika,These ads ran without a disclaimer,861,1
200768663117617,High Manifestation,These ads ran without a disclaimer,854,11
104368272282725,monicajurgensen_,These ads ran without a disclaimer,854,1
137722999750651,GE Power,These ads ran without a disclaimer,843,2
1469752156670918,Youth China,These ads ran without a disclaimer,843,1
102386009265966,Aline Antunes,These ads ran without a disclaimer,840,6
138278482866502,The Wrestling Game,These ads ran without a disclaimer,828,1
107658318417851,Jeovani Saúde Ministries,These ads ran without a disclaimer,826,1
111595864923192,Aasi Tahir Siddique,These ads ran without a disclaimer,818,8
439830550197610,Marlon Khoza,These ads ran without a disclaimer,811,1
134278719946186,Bayer,These ads ran without a disclaimer,791,4
112170381248680,Dalva Maribel -,These ads ran without a disclaimer,791,1
264727796728084,augustafredericofortes,These ads ran without a disclaimer,783,1
748558671894086,Eva Delgado-Martins,These ads ran without a disclaimer,782,1
483106561800880,Paginário,These ads ran without a disclaimer,782,1
123651920833938,Gráfica do Cunene,These ads ran without a disclaimer,774,2
107302097641788,DVCHANNEL-BELAs,These ads ran without a disclaimer,774,2
931458143625686,Maître Avatar Jean Pierre Manzolo,These ads ran without a disclaimer,774,2
