Page ID,Page name,Disclaimer,Amount spent (QAR),Number of ads in Library
1140808676003771,Designed,These ads ran without a disclaimer,≤100,1
102262402251280,مفروشات قطر,These ads ran without a disclaimer,≤100,1
109822885273085,IronPanda,These ads ran without a disclaimer,≤100,6
115449021599488,Paling Royal Kami,These ads ran without a disclaimer,≤100,1
451256781884275,Klondike Adventures,These ads ran without a disclaimer,≤100,1
129647366894964,Canadian Immigration,These ads ran without a disclaimer,≤100,1
466743333349732,BlazingBoost,These ads ran without a disclaimer,≤100,1
745989019079001,ray_gif,These ads ran without a disclaimer,≤100,1
105343035665277,OFW CoachJenilyn,These ads ran without a disclaimer,≤100,1
104625732576002,MW Invest,These ads ran without a disclaimer,≤100,1
110145528531965,Rein Colombia,These ads ran without a disclaimer,≤100,2
111934001883608,Emília Anastasia,These ads ran without a disclaimer,≤100,1
100889322590952,عطر الكلام,These ads ran without a disclaimer,≤100,2
193394557345243,Devex,These ads ran without a disclaimer,≤100,7
105363439177647,structural_glass,These ads ran without a disclaimer,≤100,1
1798435720478073,新華香港,These ads ran without a disclaimer,≤100,8
113922418290396,khalid_al_binali,These ads ran without a disclaimer,≤100,2
120893036436411,Elena Agueeva,These ads ran without a disclaimer,≤100,2
138278482866502,The Wrestling Game,These ads ran without a disclaimer,≤100,1
110834314440892,Saudi Green Initiative,These ads ran without a disclaimer,≤100,1
108245017766966,Madinah US,These ads ran without a disclaimer,≤100,3
283012368784812,Hasan Yıldız,These ads ran without a disclaimer,≤100,2
111586638712112,Public Art Abu Dhabi,These ads ran without a disclaimer,≤100,1
1681820185382265,Dubai Watch Week,These ads ran without a disclaimer,≤100,1
102977502433987,sayyidkhalid,These ads ran without a disclaimer,≤100,1
1656590977890066,IDEO U,These ads ran without a disclaimer,≤100,2
130575646805610,Makkah Halal Forum,These ads ran without a disclaimer,≤100,4
194482100419292,আকবার/কবিরাজ,These ads ran without a disclaimer,≤100,4
222801630909735,Echoes Of Palestine,These ads ran without a disclaimer,≤100,49
107777169092178,Dana Al-bayti Saudi Arabia,These ads ran without a disclaimer,≤100,3
107284842133981,World Cup Qatar 2022,These ads ran without a disclaimer,≤100,1
100696249798793,DX Ariyan Khan 30,These ads ran without a disclaimer,≤100,1
104447539409999,Rashid Chaudhary,These ads ran without a disclaimer,≤100,1
117247411366105,Jasa Keuangan,These ads ran without a disclaimer,≤100,1
113260701848292,ehabjab,These ads ran without a disclaimer,≤100,2
1046302308766060,Hamad Bin Abdulaziz Al-Kawari,These ads ran without a disclaimer,≤100,1
101941281738252,socialselfie.se,These ads ran without a disclaimer,≤100,1
101200862422133,Children of the world,These ads ran without a disclaimer,≤100,2
117936457898219,بابكر عثمان,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,60
110470091436602,Ici Beyrouth,These ads ran without a disclaimer,≤100,12
1675360659149686,University of Aberdeen School of Geosciences,These ads ran without a disclaimer,≤100,2
101082842736363,The world of reader,These ads ran without a disclaimer,≤100,4
145571891962682,Ripon 9,These ads ran without a disclaimer,≤100,1
100889891575260,චානා-𝐜𝐡𝐚𝐧𝐚,These ads ran without a disclaimer,≤100,2
109918921601118,ONGSED,These ads ran without a disclaimer,≤100,2
102477742553018,Aurorannie,These ads ran without a disclaimer,≤100,1
156043090919580,emmy.elnajjar,These ads ran without a disclaimer,≤100,1
112063015058912,selma_news_muse,These ads ran without a disclaimer,≤100,1
115408998331430,Camilla Estrada,These ads ran without a disclaimer,≤100,2
113256043923474,Noor Riyadh Festival,These ads ran without a disclaimer,≤100,2
101543722003590,albanooshqatar,These ads ran without a disclaimer,≤100,1
101916699499203,وقف الأمة ummetvakfi - sy,These ads ran without a disclaimer,≤100,1
156850176567,المجلة,These ads ran without a disclaimer,≤100,21
571018649628422,Eqtisadona  اقتصادنا,These ads ran without a disclaimer,≤100,1
108079048223768,Eiso-acph,These ads ran without a disclaimer,≤100,1
100808836140466,আল মদিনা পাক দরবার শরীফ,These ads ran without a disclaimer,≤100,1
138187892702087,ARDARA.SA,These ads ran without a disclaimer,≤100,1
109212520619194,عقارات لبنان,These ads ran without a disclaimer,≤100,1
103112516216560,Nafis Selim,These ads ran without a disclaimer,≤100,2
101869252545585,House of Power: The Game,These ads ran without a disclaimer,≤100,29
831380550400647,Saba Homes,These ads ran without a disclaimer,≤100,1
104431842563860,Meta Business Suite Support,These ads ran without a disclaimer,≤100,4
126099959357187,Dr. Tyler Harrington,These ads ran without a disclaimer,≤100,1
134061403121399,Xomtom Orson,These ads ran without a disclaimer,≤100,1
113436924999099,Premium Homes,These ads ran without a disclaimer,≤100,1
260008220538129,The Royal Foundation UAE,These ads ran without a disclaimer,≤100,2
110317405145398,Quick Translator - mobile app for smartphones,These ads ran without a disclaimer,≤100,1
34440108608,Net Impact,These ads ran without a disclaimer,≤100,17
106846601852141,آتروسيتيز تراكر,These ads ran without a disclaimer,≤100,1
111117834782364,منحة الشعب,These ads ran without a disclaimer,≤100,2
101683561819852,Innovation Real Estate,These ads ran without a disclaimer,≤100,2
237772883272306,ONSUR - International Association for Relief and Development,These ads ran without a disclaimer,≤100,9
272964606172562,Shoaib Siddiqui,These ads ran without a disclaimer,≤100,3
1629141590436019,Dubai World Trade Centre,These ads ran without a disclaimer,≤100,4
108835701534105,ديكورات قطر,These ads ran without a disclaimer,≤100,1
102342290388576,Daizy Gedeon,These ads ran without a disclaimer,≤100,28
104931595013425,Achievers Must,These ads ran without a disclaimer,≤100,1
105413035727578,Profound Realtors,These ads ran without a disclaimer,≤100,1
204578196080586,al.helou,These ads ran without a disclaimer,≤100,2
106143838185467,Giant Migration Qatar,These ads ran without a disclaimer,≤100,2
104033275293355,reemalharmoudi,These ads ran without a disclaimer,≤100,1
107251311869768,Destination Abu Dhabi,These ads ran without a disclaimer,≤100,4
150506791181,Dubai Press Club,These ads ran without a disclaimer,≤100,2
724500797668250,Antonia Pia Gordon,These ads ran without a disclaimer,≤100,1
175763332956179,971 MEDIA,These ads ran without a disclaimer,≤100,1
112829238074422,Tradify Business Solutions,These ads ran without a disclaimer,≤100,1
100394072804297,Toyhidul maintenance and movies,These ads ran without a disclaimer,≤100,2
104485445160924,الشرق للأخبار - فلسطين,These ads ran without a disclaimer,≤100,3
366743290567184,WIRED Middle East,These ads ran without a disclaimer,≤100,3
104342392622392,هلا ميديا للتدريب,These ads ran without a disclaimer,≤100,1
1065631633538453,Medics Across Continents,These ads ran without a disclaimer,≤100,7
159105000612969,Sdpi Poredam Branch,These ads ran without a disclaimer,≤100,1
153638101170769,Handmodas,These ads ran without a disclaimer,≤100,1
104201492493256,علي عيسى,These ads ran without a disclaimer,≤100,1
108807695846538,PressReader,These ads ran without a disclaimer,≤100,3
102537783146375,28. Jun,These ads ran without a disclaimer,≤100,1
148083078714007,International Humanitarian Relief - IHR,These ads ran without a disclaimer,≤100,11
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,89
105712015594786,Diego Andrade,These ads ran without a disclaimer,≤100,2
158411910684944,নিরাময়,These ads ran without a disclaimer,≤100,2
