Page ID,Page name,Disclaimer,Amount spent (MYR),Number of ads in Library
105300654428206,Mayer Malaysia,These ads ran without a disclaimer,≤100,1
196372741281949,IFS Markets,These ads ran without a disclaimer,≤100,1
105805781479031,ERIC 易芯易经风水学院,These ads ran without a disclaimer,≤100,2
103210027878929,MJ Agnes ONG 王董,These ads ran without a disclaimer,≤100,1
102348444920732,By Ashikin Fadil,These ads ran without a disclaimer,≤100,1
104767141572476,Golden99 BV,Mohd Izzuddin Bin Mohd Khalid,≤100,1
332030870223704,Asia TV Studios,These ads ran without a disclaimer,≤100,2
135490176108,China Law Blog,These ads ran without a disclaimer,≤100,3
111140283614679,Boba Wang Malaysia 金刚王,These ads ran without a disclaimer,≤100,1
101539952187245,Bitcoin and cryptocurrency profits,These ads ran without a disclaimer,≤100,1
768435539896684,TVS,These ads ran without a disclaimer,≤100,1
112301614570795,魏喜森,These ads ran without a disclaimer,≤100,1
285763228705060,Hydrothermal treatment machines 伸光 亞臨界水 - 加水分解設備 - 綠色廢棄物處理系統,These ads ran without a disclaimer,≤100,2
114229330442052,amina_alsheeb,These ads ran without a disclaimer,≤100,10
104734990924645,Easy Cheese,Wan Kit Mun,≤100,3
114421258210776,April Accessories Shop,These ads ran without a disclaimer,≤100,1
107996315091233,月旦港事,These ads ran without a disclaimer,≤100,7
2106293113018235,Ustaz Ahmad Shah Muhamed,These ads ran without a disclaimer,≤100,2
340724369319658,SIRIM Berhad,These ads ran without a disclaimer,≤100,2
100361845964351,Rumah Cun MFA,These ads ran without a disclaimer,≤100,1
171132542929029,Alfa Laval,These ads ran without a disclaimer,≤100,3
105404987743511,士拉央舊批發公市萬善大士爺寶殿,These ads ran without a disclaimer,≤100,1
1514531995322065,Ketupat Jagung,These ads ran without a disclaimer,≤100,2
1469648129790902,Youth Co:Lab,These ads ran without a disclaimer,≤100,3
1084234014949743,Wanita & Hijab Fesyen,Utusan Binders,≤100,5
103671481598221,Mohamad Iskandar,These ads ran without a disclaimer,≤100,2
111321661477802,顺德私厨,These ads ran without a disclaimer,≤100,1
1921016244677218,國際橋牌社 Island Nation,These ads ran without a disclaimer,≤100,5
108501218684467,Feetworld,These ads ran without a disclaimer,≤100,1
1646496448900510,Thye Hin Trading,These ads ran without a disclaimer,≤100,1
106074405274137,LIFE GOALS,These ads ran without a disclaimer,≤100,5
2074866039477070,年代餐室 Nian Dai KopiDiam,These ads ran without a disclaimer,≤100,1
178900755570114,Jabatan Penerangan Sarawak,These ads ran without a disclaimer,≤100,1
174188712620608,Kuala Lumpur Metropolitan University College,These ads ran without a disclaimer,≤100,1
253526534690894,Dato' Dr. Zulkifly Mohamad,These ads ran without a disclaimer,≤100,1
104808432166794,护肺王 MY 1.0,These ads ran without a disclaimer,≤100,1
233022620980830,Ebrahim Sheik,These ads ran without a disclaimer,≤100,39
524820157873767,Money Compass,These ads ran without a disclaimer,≤100,1
1995859487299836,Huawei Cloud,These ads ran without a disclaimer,≤100,1
100336196177112,Iqra' Surah Pilihan,These ads ran without a disclaimer,≤100,1
106535128673495,Muhammad Syukri Ibrahim,These ads ran without a disclaimer,≤100,1
106996962109078,SUSU Kolostrum 3 Serangkai,Mohamad Jamal Bin Jamil,≤100,1
238992893563996,Cherry Chong �,These ads ran without a disclaimer,≤100,2
110209467364342,USANA AE Team,These ads ran without a disclaimer,≤100,1
100420998560994,Persatuan Penggerak Generasi Kuala Selangor,These ads ran without a disclaimer,≤100,2
1730630540553065,Curio,These ads ran without a disclaimer,≤100,2
106680018709391,Vida Kit,These ads ran without a disclaimer,≤100,1
104592292479241,myanmaraproject,These ads ran without a disclaimer,≤100,2
196821702848,"Goldsmiths, University of London",These ads ran without a disclaimer,≤100,2
2297926640486522,YouGov Chat,These ads ran without a disclaimer,≤100,1
169049686471020,Epidemic Sound,These ads ran without a disclaimer,≤100,1
902717136452396,Pemuda UMNOSabah,These ads ran without a disclaimer,≤100,1
101630852251880,Biro Penerangan Dan Media Parti Warisan Sabah P.191 Kalabakan,These ads ran without a disclaimer,≤100,1
104715461352913,Jan Chow Yee Fah 周伊华,These ads ran without a disclaimer,≤100,1
103563877908589,Nabila Chacha,These ads ran without a disclaimer,≤100,1
237161180980,爱我身心灵,These ads ran without a disclaimer,≤100,1
108069760537361,Yunice Wang 理财攻略,These ads ran without a disclaimer,≤100,1
113633210354586,HAVVA - 无毒栽培城市农耕,These ads ran without a disclaimer,≤100,1
101338375542136,Gerakan Melaka 马六甲民政,These ads ran without a disclaimer,≤100,1
109595587463266,Dreame love 02,These ads ran without a disclaimer,≤100,2
103471904746093,Rejim,These ads ran without a disclaimer,≤100,1
114108987084519,The Unity Show,These ads ran without a disclaimer,≤100,2
101842722365871,Shanghai Landing Law Firm Malaysia Office,These ads ran without a disclaimer,≤100,1
106543368086793,Hanep Zulkifli,These ads ran without a disclaimer,≤100,2
1915500765201116,Kedai Emas Kinleigh S/B - Bintulu,These ads ran without a disclaimer,≤100,2
160193254100374,不得不吃喝玩乐 Eat Drink Play is Life,These ads ran without a disclaimer,≤100,2
2411956898816853,Sibeh Bo Nao,These ads ran without a disclaimer,≤100,1
125626261443189,居銮-流动臭豆腐【臭小子】,These ads ran without a disclaimer,≤100,1
1904098872958241,Air Cooler Sales & Rental Service Malaysia,These ads ran without a disclaimer,≤100,2
171898780307930,Buddhi Clinic,These ads ran without a disclaimer,≤100,1
791830451184633,CSEAS Indonesia,These ads ran without a disclaimer,≤100,3
107447598052932,Syria Di Hatiku,These ads ran without a disclaimer,≤100,8
114556863727373,Peter Loans Financial,These ads ran without a disclaimer,≤100,1
148807804008666,McDonald's Kuching Parties,These ads ran without a disclaimer,≤100,2
817719961605567,小yu手記《靖雪》,These ads ran without a disclaimer,≤100,1
102396758243579,田志雄  Chan Chee Hiong,These ads ran without a disclaimer,≤100,1
226554086018289,Moanas.so,These ads ran without a disclaimer,≤100,1
102211805265871,Opportunity/IdolRaffy,These ads ran without a disclaimer,≤100,1
381744819080819,NicholasLee-Focus Estate Agency,These ads ran without a disclaimer,≤100,2
1583111881940022,Tadika Dzul Iman Kubang Kerian,These ads ran without a disclaimer,≤100,1
104567011772292,可口可乐但不可口,These ads ran without a disclaimer,≤100,1
140957829347525,SUITCASE Magazine,These ads ran without a disclaimer,≤100,1
100414095066894,阿米,Ong Sing Geap,≤100,1
1414515485454171,"Indonesian Service, China Radio International",These ads ran without a disclaimer,≤100,17
101186642182504,TKI Sukses,These ads ran without a disclaimer,≤100,1
104512335337329,Goforfreedom,These ads ran without a disclaimer,≤100,1
100885259250587,龙腾寻宝,These ads ran without a disclaimer,≤100,3
101656772127600,QIAM Perfume,These ads ran without a disclaimer,≤100,4
110470394564000,joonchaecouple,These ads ran without a disclaimer,≤100,1
110188268014876,Simplot SEA,These ads ran without a disclaimer,≤100,5
100893121590528,YB Datuk James Ratib,These ads ran without a disclaimer,≤100,1
1577443979215105,新时代教育中心 - Bukit Indah,These ads ran without a disclaimer,≤100,2
280794618768432,TVTumpat,These ads ran without a disclaimer,≤100,1
104613585489293,Pro Horse Racing 賽馬88,These ads ran without a disclaimer,≤100,1
316004665155000,SAP,These ads ran without a disclaimer,≤100,2
181787055693633,ဗေဒင်နှင့်လက္ခဏါ ဆရာကြီးဦးအောင်မင်း,These ads ran without a disclaimer,≤100,3
100103401934698,Infinity Lega Homes 無限樂家,Ngan Cheng How,≤100,1
2064740347090300,Ideology Design Studio,Ching DAP,≤100,1
384304365088074,The Mandarin Centre,These ads ran without a disclaimer,≤100,1
109992730838010,LDP N33 KUALA PENYU,These ads ran without a disclaimer,≤100,2
116626113041207,Armada Bersatu Sarawak,Jeffery Japok Anak Igai,≤100,1
105343035665277,OFW CoachJenilyn,These ads ran without a disclaimer,≤100,1
354855117875613,海外在住者向けインターネットビジネスコンサルティングの株式会社コンテンツラボ,These ads ran without a disclaimer,≤100,1
109464937497144,Youzi Academy 游子投资学院,These ads ran without a disclaimer,≤100,1
101181905119718,Adam Rosly DAR,These ads ran without a disclaimer,≤100,1
111108904806649,World Of Football NFT,These ads ran without a disclaimer,≤100,1
892216927509760,桑妮Sunny任克晴,These ads ran without a disclaimer,≤100,1
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
100622058427816,Rundingan Anwar - Najib yang menghancurkan,These ads ran without a disclaimer,≤100,1
1036101093137406,LHH Vegetable - Malaysia,These ads ran without a disclaimer,≤100,2
102290081435014,Syaeera Partner,These ads ran without a disclaimer,≤100,1
173254003362613,WE ARE CHINA,These ads ran without a disclaimer,≤100,7
551003268675728,ORKED & UMAR,These ads ran without a disclaimer,≤100,2
209422242966913,"Klinik IKRAM, Gong Badak 24 Jam & X-Ray",These ads ran without a disclaimer,≤100,1
106294234493154,IN Palawan For Sale,These ads ran without a disclaimer,≤100,1
101220519492,Good News from Finland,These ads ran without a disclaimer,≤100,7
101420434579820,Tokenize Malaysia,These ads ran without a disclaimer,≤100,1
188789377812793,Kongsberg Gruppen,These ads ran without a disclaimer,≤100,5
575277482621501,Integral Conversation,These ads ran without a disclaimer,≤100,4
102853078091144,Terence Sinti,These ads ran without a disclaimer,≤100,1
110946857937652,Jusrajatempur,Muhammad Azhar Khan Abd Aziz,≤100,1
462065103877582,Cikgu Izzat,These ads ran without a disclaimer,≤100,1
104194748027228,MBD SPU,These ads ran without a disclaimer,≤100,1
562406427250308,Bullbearbursa（牛转局势）,These ads ran without a disclaimer,≤100,1
100626472967467,Solusi Cepat Kaya,These ads ran without a disclaimer,≤100,2
686248581814805,CCTV Malaysia,Hairullah Bin Julkepleh,≤100,2
117679042975587,Center for Market Education,These ads ran without a disclaimer,≤100,1
188752431736645,Amazing Perak,These ads ran without a disclaimer,≤100,1
110844001928069,Wahed Invest Malaysia,These ads ran without a disclaimer,≤100,1
691842441184792,Aidonic,These ads ran without a disclaimer,≤100,2
109502434007517,Vetrii Chakraam Manthirigam,These ads ran without a disclaimer,≤100,1
255804437808407,Vale,These ads ran without a disclaimer,≤100,7
102502807850665,Cutting Edge Crowdfunding,These ads ran without a disclaimer,≤100,7
112359851215154,泰缘宝佛殿.圣物佛牌行,These ads ran without a disclaimer,≤100,1
100698148150864,Ibu Yati Page,These ads ran without a disclaimer,≤100,1
1884888828243944,KKIP Autocity,These ads ran without a disclaimer,≤100,1
111857050295039,Feel Young Foot Reflexology Centre,These ads ran without a disclaimer,≤100,1
103982948565334,Kluster Kayangan,These ads ran without a disclaimer,≤100,2
1744815202429394,Vaniadesigners 正品欧洲代购,These ads ran without a disclaimer,≤100,1
183953017475,Cambridge English Teach,These ads ran without a disclaimer,≤100,5
559484837796781,Aizat Ruslan,These ads ran without a disclaimer,≤100,1
551158678560402,Epimonia,These ads ran without a disclaimer,≤100,3
108602371685931,足球營SoccerCamp,These ads ran without a disclaimer,≤100,2
109866318001588,Turn it Around Flashcards for Education Futures,These ads ran without a disclaimer,≤100,2
103728905174824,Ziku智库  e-Learning,These ads ran without a disclaimer,≤100,3
1364267993689783,Best Tabletop Gaming Crowdfunding Projects,These ads ran without a disclaimer,≤100,35
102512571735690,Isfahafis,These ads ran without a disclaimer,≤100,1
103909951145241,On MY Way SG 探索新马,These ads ran without a disclaimer,≤100,4
446376772194584,宾果日报 Bingo Daily,These ads ran without a disclaimer,≤100,1
104238192067446,Fox'oclock,These ads ran without a disclaimer,≤100,2
451178702342110,PME Psychedelic Media & Entertainment,These ads ran without a disclaimer,≤100,2
113608008709874,Hotel Villa Real,These ads ran without a disclaimer,≤100,5
101469411729609,沙巴人系有料,These ads ran without a disclaimer,≤100,1
124283624833794,Sejarah Semasa,These ads ran without a disclaimer,≤100,1
686960004716613,Messrs. Azimah Azalia & Co.,These ads ran without a disclaimer,≤100,1
529439220427390,Ratu Naga - Syarul Ema Rena,Syarul Ema Rena Binti Abu Samah,≤100,3
882887715132982,FG Fitness Studio & Academy,These ads ran without a disclaimer,≤100,1
103689281727459,Effective Automation Solutions Sdn. Bhd,Zairul Irwandi Bin Zainal Abidin,≤100,1
348255006339518,帅哥.美女社Design,These ads ran without a disclaimer,≤100,2
102872514676782,د. ذو الكفل محمد البكري,Zulkifli Bin Mohamad,≤100,1
102252525898596,Lương Y Phạm Văn Thanh,These ads ran without a disclaimer,≤100,2
1416801761953271,School of Biological Sciences QUB,These ads ran without a disclaimer,≤100,3
1721351294762333,RIZKA,These ads ran without a disclaimer,≤100,2
111010537309312,Shazwan Zdainal,These ads ran without a disclaimer,≤100,1
348549832578767,Healthcare+ Expo 台灣醫療科技展,These ads ran without a disclaimer,≤100,1
1122176054470533,Rachel Lim,These ads ran without a disclaimer,≤100,3
102448324963066,MK Gamer,These ads ran without a disclaimer,≤100,1
109695200415919,Lan Jerme,These ads ran without a disclaimer,≤100,1
279739872472495,Property.in,These ads ran without a disclaimer,≤100,1
101021848857401,Info sukses,These ads ran without a disclaimer,≤100,2
376542932403755,創價學會,These ads ran without a disclaimer,≤100,3
101334692782921,Parti Keadilan Rakyat Cabang Seremban,Muhammad Edzwan Ashraf,≤100,1
101054485856761,颜慈伽 Jocelyn Gan,These ads ran without a disclaimer,≤100,3
101910911644894,Zbzz35mmmy-shop,These ads ran without a disclaimer,≤100,1
100960506336109,,These ads ran without a disclaimer,≤100,2
123161387835128,HackerEarth,These ads ran without a disclaimer,≤100,1
312450982606885,KhunyingPatama Leeswadtrakul,These ads ran without a disclaimer,≤100,5
486269461442863,"Kementerian Pelancongan, Seni dan Budaya Malaysia",These ads ran without a disclaimer,≤100,2
101834308953397,Huaya GFCI USB Receptacle,These ads ran without a disclaimer,≤100,1
173528014235955,press.only,These ads ran without a disclaimer,≤100,1
135974409762745,U Beauty,These ads ran without a disclaimer,≤100,1
100633865463306,Sanjaakyx,These ads ran without a disclaimer,≤100,1
135154206655374,Albion Online,These ads ran without a disclaimer,≤100,1
119324734165,YourLifeCom,These ads ran without a disclaimer,≤100,2
124650430922882,Oulun yliopisto - University of Oulu,These ads ran without a disclaimer,≤100,1
704661060355327,Peeple,These ads ran without a disclaimer,≤100,2
298273390299782,Skill Solutions Sdn Bhd,These ads ran without a disclaimer,≤100,1
59953464289,AID/WATCH,These ads ran without a disclaimer,≤100,1
1429942950553593,Adipec Official,These ads ran without a disclaimer,≤100,5
110045820723472,Republic of Sabah North Borneo - RSNB,These ads ran without a disclaimer,≤100,2
110737498667162,Artemis,These ads ran without a disclaimer,≤100,1
326705000753208,Kashoorga,These ads ran without a disclaimer,≤100,1
126062112252767,Xổ số thần tài 9999,These ads ran without a disclaimer,≤100,3
122465892664556,Parti Cinta Sabah Penampang,These ads ran without a disclaimer,≤100,1
103621578160041,Chung Yaw Vui : Calon Bebas N.69 Sri Tanjong,These ads ran without a disclaimer,≤100,1
607025566407060,Epistmik,These ads ran without a disclaimer,≤100,1
723991001114812,Buildner,These ads ran without a disclaimer,≤100,3
1746094302352411,La Promenade Mall,These ads ran without a disclaimer,≤100,3
2204769006213299,天下無双⦁火锅 Unique S Steamboat,These ads ran without a disclaimer,≤100,1
265764164266468,ABANG PTPTN,Nor Azizi  Bin Abd Razak,≤100,1
104153141596097,Bersatu Pasir Mas,These ads ran without a disclaimer,≤100,1
341099637275580,PESURUHJAYA SUMPAH TAWAU NAMRIA NASIR,These ads ran without a disclaimer,≤100,2
100914575792450,Pejuang Titiwangsa WP - Rasmi,These ads ran without a disclaimer,≤100,1
101270319469570,Siti Aminah Aching - P.177 Beaufort,These ads ran without a disclaimer,≤100,1
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,9
105073267767268,Pertubuhan Karyawan Politik Malaysia,These ads ran without a disclaimer,≤100,1
113753460262489,Neumann Snooker,These ads ran without a disclaimer,≤100,1
111308594005914,Muafakat Nasional Wanita Kuala Langat,These ads ran without a disclaimer,≤100,3
110259230686854,Sah Spendr,These ads ran without a disclaimer,≤100,2
860574404093479,TRT World Citizen,These ads ran without a disclaimer,≤100,19
103211952066425,The Pineapple,These ads ran without a disclaimer,≤100,7
453019294769667,PAS Kawasan Kluang,These ads ran without a disclaimer,≤100,1
101217224986552,Penggerak Daily,These ads ran without a disclaimer,≤100,2
104330817900608,Firdaus Public Gold,These ads ran without a disclaimer,≤100,1
102033544904671,Supreme Five,These ads ran without a disclaimer,≤100,1
566186713461681,Wilfred Madius Tangau,These ads ran without a disclaimer,≤100,1
691474117916998,FiriatCat Cosplay,These ads ran without a disclaimer,≤100,2
1674587062586901,Baju Pakatan Harapan,These ads ran without a disclaimer,≤100,2
100321581837550,FLY MEDIA Production,Ahmad Helmie Bin Ahmad,≤100,2
191869120824391,British Institute of International and Comparative Law,These ads ran without a disclaimer,≤100,5
289811564404721,正向生命教育中心,These ads ran without a disclaimer,≤100,2
110297484122510,Malakat Grocer,These ads ran without a disclaimer,≤100,2
108086445012675,外劳咨询服务 Supply & Manpower Foreign Labour Services,These ads ran without a disclaimer,≤100,1
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,4
107306491631700,GKtv Law,These ads ran without a disclaimer,≤100,2
217644452151629,许志国 Clement Hii,These ads ran without a disclaimer,≤100,2
110461250757456,Armada Negeri Kelantan,These ads ran without a disclaimer,≤100,1
447178272144612,Udit Goenka,These ads ran without a disclaimer,≤100,5
202228306454759,Thought For Food,These ads ran without a disclaimer,≤100,7
1449843535281161,KPLUS Professional Hair Care  发廊 Saloon • 品牌 Branding • 电商 E-commerce,These ads ran without a disclaimer,≤100,1
247573082012834,B-Cabs,These ads ran without a disclaimer,≤100,1
104399314757030,Koinvoguvanmoyogmiampaidijoe,These ads ran without a disclaimer,≤100,1
106213828502802,Plentiful Moose House,These ads ran without a disclaimer,≤100,5
1453997771525853,Impact Guru,These ads ran without a disclaimer,≤100,16
540529686027437,Danfoss Climate Solutions,These ads ran without a disclaimer,≤100,1
101814592728824,MiMi时尚海外代购,These ads ran without a disclaimer,≤100,1
392578628034808,Armada Bersatu Bahagian Padang Rengas,These ads ran without a disclaimer,≤100,3
272279436131157,nippon.com 繁體字,These ads ran without a disclaimer,≤100,4
101056014944627,Dr Thanussha,These ads ran without a disclaimer,≤100,2
877142645638002,Viralcham,These ads ran without a disclaimer,≤100,1
105749012214991,Permai Care - Tabung Kebajikan,Khairul Anuar Bin Ahmad Kamil,≤100,1
585155115490303,林老师来了,These ads ran without a disclaimer,≤100,1
723826694319605,MITx Courses,These ads ran without a disclaimer,≤100,1
412409048849179,Behold Israel,These ads ran without a disclaimer,≤100,10
102783098560325,年轻时代,These ads ran without a disclaimer,≤100,1
110289934787552,巨人的肩膀,These ads ran without a disclaimer,≤100,3
108200528206098,Sri Gading Sejahtera,These ads ran without a disclaimer,≤100,1
192813987995445,Pusat Khidmat ADUN Batu Maung,These ads ran without a disclaimer,≤100,2
111590766861630,Maahad Tahfiz Al-quran Masjid Lama,These ads ran without a disclaimer,≤100,3
902410476762244,International Business Consultancy IBC 法律金融會計事務所 IBCFirm 泰國中文律師,These ads ran without a disclaimer,≤100,1
106507111228219,Anthony Leesense,These ads ran without a disclaimer,≤100,3
118592938221174,ZTE Corporation,These ads ran without a disclaimer,≤100,7
1006829009506673,FlyOverChina,These ads ran without a disclaimer,≤100,1
110592218566837,鸚鵡小說001,These ads ran without a disclaimer,≤100,1
1730980523797409,Digital Economy Summit,These ads ran without a disclaimer,≤100,2
111566447680007,Men Tshirt 11A,These ads ran without a disclaimer,≤100,1
105293945355017,Khallegacy Smartpay,These ads ran without a disclaimer,≤100,1
1543187315913204,MediSpring Family Polyclinic 爱家医务所,These ads ran without a disclaimer,≤100,1
104016891958112,Mia Bakery,These ads ran without a disclaimer,≤100,1
114140246889337,Yayasan Budi Ihsan Malaysia,These ads ran without a disclaimer,≤100,11
137039752979460,Every Home for Christ International,These ads ran without a disclaimer,≤100,2
99984862969,Maher Zain,These ads ran without a disclaimer,≤100,1
101690338572772,Jalinan Ummah by NP,These ads ran without a disclaimer,≤100,3
117401348275717,Dogyball,These ads ran without a disclaimer,≤100,1
161095810581910,China Daily Hong Kong,These ads ran without a disclaimer,≤100,1
104144307874802,Yomie's Rice X Yogurt - Penang & Kedah 有米酸奶,These ads ran without a disclaimer,≤100,3
1709970219311868,Gerakan Pengundi Sedar,These ads ran without a disclaimer,≤100,1
108409844791401,Joe Lim,These ads ran without a disclaimer,≤100,1
738701816171948,Kedah My Hometown 我来自吉打,These ads ran without a disclaimer,≤100,1
109978918442761,RASJ 小説瘋狂看,These ads ran without a disclaimer,≤100,1
103125711976531,spongybags,These ads ran without a disclaimer,≤100,1
105280672003903,Game Booster- Fast Proxy,These ads ran without a disclaimer,≤100,1
1937146806314136,madgicx.com,These ads ran without a disclaimer,≤100,1
2025473947677949,Jsim Education 沈氏书局,These ads ran without a disclaimer,≤100,1
465246374253322,Glamnetic,These ads ran without a disclaimer,≤100,1
1877361012493253,China Mosaic,These ads ran without a disclaimer,≤100,6
103911962370135,মোরসালিন,These ads ran without a disclaimer,≤100,1
242022839335891,Perak My Hometown 我来自霹雳,These ads ran without a disclaimer,≤100,1
386514304811881,Pen My Blog,These ads ran without a disclaimer,≤100,1
103606044825534,PBS N.22 Tanjung Aru Yong Oui Fah,These ads ran without a disclaimer,≤100,1
101708195682613,ကိုဇော်လင်း,These ads ran without a disclaimer,≤100,1
305828002808516,INHOPE - International Association of Internet Hotlines,These ads ran without a disclaimer,≤100,2
119396078124588,GOD TV,These ads ran without a disclaimer,≤100,4
114570533744038,watch.mood,These ads ran without a disclaimer,≤100,1
100175708304469,Rosemary story,These ads ran without a disclaimer,≤100,1
102867858256991,My Toto 4D,These ads ran without a disclaimer,≤100,1
1525358874431610,Awie entertainment&events management,These ads ran without a disclaimer,≤100,1
882876681835039,eGG Network,These ads ran without a disclaimer,≤100,1
108729435044190,BoBo Wallpaper-1,These ads ran without a disclaimer,≤100,1
342945359760653,文墨常伴,These ads ran without a disclaimer,≤100,2
890552254344978,JS Partners,These ads ran without a disclaimer,≤100,1
116376874404458,Meseemall1,These ads ran without a disclaimer,≤100,6
104959881295709,Teh Tarik Kopi O,These ads ran without a disclaimer,≤100,1
111442203991779,"Ir. Darren Chin, 陈文强",These ads ran without a disclaimer,≤100,1
108228465160117,Raja vai,These ads ran without a disclaimer,≤100,1
103684952149264,တော်လှန်ကျန်းမာ အနာဂတ်ကမ္ဘာ ထိုင်းရောက်တို့မြန်မာ,These ads ran without a disclaimer,≤100,1
1492977537583704,Sabah My Hometown 我来自沙巴,These ads ran without a disclaimer,≤100,1
100124386254777,4D Best Tips,These ads ran without a disclaimer,≤100,1
103910264642781,Chilly Life,These ads ran without a disclaimer,≤100,1
104007965152546,Special For U,These ads ran without a disclaimer,≤100,2
101997395001574,Link-social time,These ads ran without a disclaimer,≤100,4
108723484770360,Rise_M107B_2,These ads ran without a disclaimer,≤100,2
109957120927850,Internal IG Analytics,These ads ran without a disclaimer,≤100,1
102126007984978,Established Titles,These ads ran without a disclaimer,≤100,1
1936969563203232,Deyen's,These ads ran without a disclaimer,≤100,1
107909914377566,Madrasah Babul Khairat PPR Perkasa,These ads ran without a disclaimer,≤100,8
1415624042005645,Cycliq,These ads ran without a disclaimer,≤100,3
116349029023641,Rezqi Vision,These ads ran without a disclaimer,≤100,1
1868765246771155,營養師 張語希,These ads ran without a disclaimer,≤100,4
103263344933854,Global Millennial MUN,These ads ran without a disclaimer,≤100,4
409237769129679,Beaconhouse School System [Official],These ads ran without a disclaimer,≤100,2
2060754527531356,澳門鴻威文娛體育會,These ads ran without a disclaimer,≤100,1
107852870947430,Six Yards of Varnam,These ads ran without a disclaimer,≤100,1
113162917063471,YB Ustaz Ridzuan Hashim ADUN Buluh Gading,These ads ran without a disclaimer,≤100,1
158005258347611,Life WareHouse,These ads ran without a disclaimer,≤100,1
101208242605995,乜都讲,These ads ran without a disclaimer,≤100,2
464996406869911,Yanie Yanson,These ads ran without a disclaimer,≤100,1
178428158906681,Project Liber8,These ads ran without a disclaimer,≤100,2
1541949036063045,Pusat Khidmat Rakyat N46 DUN Pelabuhan Klang YB Azmizam Zaman Huri,These ads ran without a disclaimer,≤100,1
265120260565074,Invest Property Malaysia 178,Kee Hoe Lim,≤100,1
175755689129519,Tech in Asia,These ads ran without a disclaimer,≤100,14
358542405000055,LDP Central Youth Movement,These ads ran without a disclaimer,≤100,1
630115277378609,Teacher Philip,These ads ran without a disclaimer,≤100,3
151709604900321,Dr Maszlee Malik,These ads ran without a disclaimer,≤100,2
223745337716768,KOREAZ,These ads ran without a disclaimer,≤100,8
1965505543743018,Obera F & B Sdn. Bhd. 欧柏拉酒莊,These ads ran without a disclaimer,≤100,3
101005891948436,whou666,These ads ran without a disclaimer,≤100,1
359902777807381,SSD Secure Disclosure,These ads ran without a disclaimer,≤100,1
107689678120237,INovels_Fansclub,These ads ran without a disclaimer,≤100,7
107442432003391,BIT Expo,These ads ran without a disclaimer,≤100,1
107981501123286,GimmeHoop,These ads ran without a disclaimer,≤100,4
103208305362686,"Biro Keahlian, Pejuang Wilayah Persekutuan",These ads ran without a disclaimer,≤100,1
104000521826672,谣言粉碎机,These ads ran without a disclaimer,≤100,2
377599929525044,Faridatul Akma,These ads ran without a disclaimer,≤100,1
513280059489377,Din Samsuddin,These ads ran without a disclaimer,≤100,1
212826549355379,Parlimen Ampang P99,These ads ran without a disclaimer,≤100,1
105850555780273,Fo Rizq Ticketing & Travel Umrah,These ads ran without a disclaimer,≤100,1
160552517316592,Islam21c,These ads ran without a disclaimer,≤100,7
190453184318582,马大新青年 (UMANY),These ads ran without a disclaimer,≤100,2
104869801835112,Amalkan Tin Dan Zaitun,These ads ran without a disclaimer,≤100,1
289963741156793,We Fully Support BN 我们全力支持国阵,These ads ran without a disclaimer,≤100,2
216566245066825,Musawah,These ads ran without a disclaimer,≤100,2
108450180844854,新时代教育中心 - Mutiara Rini,These ads ran without a disclaimer,≤100,2
106417864346236,Nanotechs,These ads ran without a disclaimer,≤100,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100,13
1228474900588300,Pendidikan Anak Pahang,These ads ran without a disclaimer,≤100,3
638113246310127,Classic WOMEN Beauty & Academy,These ads ran without a disclaimer,≤100,1
144955965654911,Syeikh Nuruddin Marbu ALBanjari ALMakki - Restu from Syeikh,These ads ran without a disclaimer,≤100,1
110419051297910,夜夜好眠,These ads ran without a disclaimer,≤100,6
373876983426627,BAITU DHUHA CARE,Muhammad Usaid Bin Halim,≤100,3
693604094104222,Cerita viral terkini,These ads ran without a disclaimer,≤100,3
1842657632659388,Baljit Singh,These ads ran without a disclaimer,≤100,2
1238241542877472,Khairuddin A Rahim,These ads ran without a disclaimer,≤100,1
112746677073226,Penggerak Komuniti Negara - P164 Pontian,These ads ran without a disclaimer,≤100,1
105672624622904,Ts Formula - Kurus Pantas,These ads ran without a disclaimer,≤100,4
107296511084399,May truth with you,These ads ran without a disclaimer,≤100,14
1822652131345329,Baitulmal MAIS,These ads ran without a disclaimer,≤100,1
241352673217533,Peakz.com,These ads ran without a disclaimer,≤100,1
129494167102132,大紀元時報-馬來西亞,These ads ran without a disclaimer,≤100,1
51626468389,UNESCO,These ads ran without a disclaimer,≤100,3
103925538691221,Handcrafted Best,These ads ran without a disclaimer,≤100,5
1013449992051964,Daquan,These ads ran without a disclaimer,≤100,17
104562828277617,"少林食神, Shaolin Chef Kampar.",These ads ran without a disclaimer,≤100,1
106035218778087,Dato' Romli Ishak N.55 Dengkil,These ads ran without a disclaimer,≤100,2
109980830920884,Soulight,These ads ran without a disclaimer,≤100,1
100957392834915,Razali Bin Saad,These ads ran without a disclaimer,≤100,1
158239567537549,Faber-Castell,These ads ran without a disclaimer,≤100,1
442096865966118,Agenda Massa,These ads ran without a disclaimer,≤100,2
105427018693989,လော်ပန်,These ads ran without a disclaimer,≤100,1
