Page ID,Page name,Disclaimer,Amount spent (PHP),Number of ads in Library
516062618458044,Fwd Pilipinas,SDS,300362,21
105274024226142,Alam na Diz,Alwynn Santos Dumalde,299477,1627
824886400914694,Ping Lacson,Ping Lacson,295892,14
202694456995117,Infrawatch PH,Infrawatch PH,295846,81
222641688432109,Gising Manila,Alwynn Santos Dumalde,295031,1319
1314968678606484,Politico.ph,Claudio Espigol Rugay,292505,12
2327089470844129,Cancer Party-list,Albert Baino Dela Cruz,291017,15
750448628373857,Team Banana - minions,These ads ran without a disclaimer,288385,1
126919387470670,Rufus B. Rodriguez,Rufus Bautista Rodriguez,286764,280
107382084968266,Congresswoman Precious H. Castelo,Social Media Boosting,286090,46
104794052128552,Free To Be U,Organic Intelligence Consulting Inc.,282837,56
319818695398069,"Kgwd. Lito del Rosario - Naga City, Camarines Sur",Joselito San Andres Del Rosario,281012,190
101696396580872,Plan International Philippines,Plan International Philippines,280994,114
112787397193011,Gov Luigi Villafuerte,Luigi Villafuerte,280989,32
100524842436526,QC Malaya Mayor Mike Defensor,R8B EVENTS MANAGEMENT SERVICES,280788,150
550013548423077,ECPAT Philippines,ECPAT Philippines with Facebook Ad Credits,279849,2
1871757276390999,Cong. Mannix Dalipe - Page,Manuel Jose M. Dalipe,278311,281
162497607465020,"Joaquin ""Kikang"" UY",Raineir Joaquin Velez Uy,277246,52
207494196545897,"San Anselmo Publications, Inc.",Eldrige Marvin Bihis Aceron,276115,344
192381083777,Hyundai Worldwide,These ads ran without a disclaimer,275524,7
103024662252180,MalasakitatBayanihan,Malasakit@Bayanihan Party List,274560,69
149955568600,News AM Ng Lahat,Ricardo Jr. Dela Cruz Flores,272952,82
388689438381348,Mike Defensor,R8B EVENTS MANAGEMENT SERVICES,267935,122
101280794833251,Risa Para sa Masa,Clutch Media,266854,77
483430665076578,Edukasyon.ph,Edukasyon.ph,266462,136
102872475044407,Air Queen PH,Tyron Viola De Guzman,266285,107
104123408073601,"Nikki Prieto-Teodoro, Philippine Special Envoy to Unicef",Maria Lourdes Acosta Gammad,264839,51
226006594185958,Concentrix,These ads ran without a disclaimer,263965,41
100482825390425,Aksyon Partido,Arlene Sanchez,263383,17
104906818795123,Tatak Tesdaman,Tatak Tesdaman,262979,15
218959868123862,Robin Padilla,Sulong Pilipinas,262812,4
1512452085732585,Stratbase ADR Institute,Stratbase ADR Institute,262452,320
103095795644989,Glenn Pichay Plaza,Julius Magallano Budlat,261917,71
106628735125398,Teddy Baguilat,"Paid for and Paid by Teddy Baguilat, Jr.",259901,145
108219948446660,PabOr Sa MisOr,Hook Digital,259650,50
140394179308522,2D-Albay,Jose Ma Clemente Sarte  Salceda,256640,95
200480966638039,Supremacy 1914,These ads ran without a disclaimer,256162,3
1691279514424980,Juliette Uy,Clutch Media,255766,24
100123685502613,Eleksyon 2022 Koalisyon,Eleksyon 2022 Koalisyon with Facebook ad credits,255518,18
96735720435,Youth Philippines,UMVUSA Technologies Incorporation,253501,71
104528725579651,Solid Luigi & Solid Leni Kami,Ericka Jones Magat,253037,4
100985303377,Valenzuela City,Valenzuela City,252721,78
336528977267375,Rep. Ronnie Ong,Rep. Ronnie Ong,250907,108
823520244658655,Buklod Filipino Partylist,Social Media Boosting,250799,50
1161535720642306,Kaya Ko Pa Kaya?,Clutch Media,249308,43
100262295333622,USWAG Ilonggo Party-list,Dame,248039,407
61953501555,Akbayan Partylist,Akbayan Online,248006,16
298753410968669,Pilipinas Today Club,WFPH,246908,109
101519447958487,Pilipinas News Online,Alwynn Santos Dumalde,245753,1403
108932410480854,Usapang Trapo,Wild Purple,245056,43
110243819715566,Follow Your Legend,These ads ran without a disclaimer,244478,27
409868232868562,International Justice Mission Philippines,International Justice Mission Philippines with Facebook Ad Credits,244330,4
106313468627022,Boses ng Kyusi,Wild Purple,242886,46
158506125958541,Flight App Lab N,These ads ran without a disclaimer,242306,1
259423248058629,Politics Exposed,Wild Purple,240675,38
