Page ID,Page name,Disclaimer,Amount spent (SGD),Number of ads in Library
101887411748144,The Good Real Estate Guys,Ong Han Yang,1579,30
209035949142286,Wan Qing Yuan - Sun Yat Sen Nanyang Memorial Hall 晚晴园-孙中山南洋纪念馆,These ads ran without a disclaimer,1578,4
973567756011049,upGrad,These ads ran without a disclaimer,1573,5
106549699392982,HealthServe,HealthServe,1571,8
152818334765026,Saxo Singapore,These ads ran without a disclaimer,1555,45
123476174412250,Doris Kearns Goodwin,These ads ran without a disclaimer,1545,11
140833359316610,Bishan Community Club,Bishan Community Club,1537,5
239469312740561,Our Admiralty,Our Admiralty,1537,5
134385173276067,Pasir Ris Elias Community Club,Pasir Ris Elias Community Club,1536,5
1673371109567087,Chua Chu Kang - Our Home,Chua Chu Kang - Our Home,1536,5
125055622794,Ci Yuan CC,Ci Yuan CC,1535,5
249269946329,Cheng San Community Club,Cheng San Community Club,1534,5
166289220097098,Bukit Batok， Our Home (武吉巴督，我们的家园),Bukit Batok， Our Home (武吉巴督，我们的家园),1534,5
193997537289496,Radin Mas Constituency,Radin Mas Constituency,1533,5
115890308511861,Kembangan-Chai Chee,The People's Association,1532,5
220602985521506,SDA News Page,Muhammad Hairullah Bin Ahmad,1524,27
104680871223106,Broad news,These ads ran without a disclaimer,1517,4
106776630689061,Prabu Ramachandran addresses Real Issues in Singapore,Prabu Ramachandran,1515,511
219832364650,Jamco Optical,These ads ran without a disclaimer,1515,64
485829795152425,Property News,Ong Han Yang,1503,44
309662049450164,Vincent & Melissa,Ong Han Yang,1503,19
523106248100826,ADDX.co,These ads ran without a disclaimer,1500,1
104186405254781,TanTan_Chinese,These ads ran without a disclaimer,1498,5
1220981994590364,FT Partner Content,These ads ran without a disclaimer,1496,128
113310782027160,UFM100.3,SPH Media Trust,1492,3
141669345846283,BERITAmediacorp,These ads ran without a disclaimer,1491,8
180972142391567,Keep It Real With Marcus Luah,These ads ran without a disclaimer,1490,3
1280606772095924,Edmund Wong,Ong Han Yang,1488,80
128737643875635,Infocomm Media Development Authority of Singapore,These ads ran without a disclaimer,1472,2
316943958423666,NUS Giving,These ads ran without a disclaimer,1456,3
110802927011209,Property Edge,Ong Han Yang,1455,43
1420540594833950,National Environment Agency (NEA),These ads ran without a disclaimer,1454,35
107835592603049,Mediacorp WARNA 942,These ads ran without a disclaimer,1448,2
323982407668856,Employment Hero,These ads ran without a disclaimer,1434,1
152978514720068,Leong Sze Hian,These ads ran without a disclaimer,1431,5
102389457864860,Treehuggers Bracelets,These ads ran without a disclaimer,1429,10
1635561306757848,Propsmart,Ong Han Yang,1423,11
