Page ID,Page name,Disclaimer,Amount spent (ZAR),Number of ads in Library
1413849605368579,Stock Capital Investment,These ads ran without a disclaimer,4752,3
100776202191315,Infinite Force,These ads ran without a disclaimer,4742,3
2396270187083799,Democratic Alliance Mafube Municipality,Democratic Alliance Free State,4738,48
437153699802747,Brendan Kane,These ads ran without a disclaimer,4724,7
1841270212594944,"Previn Vedan, Activist",Theesan Ananda Vedan,4614,13
18625729320,Bush Radio 89.5 FM,Bush Radio 89.5 FM,4596,7
109088045026423,The Class of 2030,Investec,4588,2
744318359371385,Pristine Earth Collective,Pristine Earth Collective,4569,84
110425974777904,Hope D,These ads ran without a disclaimer,4553,1
105284985063832,VF Plus - Swartland,Vryheidsfront Plus / Freedom Front Plus,4500,2
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,4470,22
101187395701323,Moment Day,These ads ran without a disclaimer,4417,1
748709935278469,Zelna Jansen Consultancy,Zelna Moira Jansen,4412,93
191389060949202,RISE fm 943,GCIS,4408,7
1731336223750162,VF Plus Matlosana,Vryheidsfront Plus / Freedom Front Plus,4396,9
103320692149089,Destiny Morning,These ads ran without a disclaimer,4395,1
357251385085313,Alliance to End Plastic Waste,These ads ran without a disclaimer,4391,33
103026604639003,Democratic Alliance - Dr Beyers Naude,Democratic Alliance,4370,20
132211110138805,NWU Business School,NWU Business School,4347,1
494366787398793,Hyundai Stellenbosch,These ads ran without a disclaimer,4338,1
177619079111,National Youth Development Agency,National Youth Development Agency,4332,10
100535795956888,Grand Game,These ads ran without a disclaimer,4303,1
100380072155302,Defenders of The People,Defenders of The People,4302,2
104292298746456,Redauto,These ads ran without a disclaimer,4300,1
1065631633538453,Medics Across Continents,These ads ran without a disclaimer,4297,26
154110104637899,Mincon,These ads ran without a disclaimer,4241,3
2018486901591957,One Mark,"Freedom House, Sothern Africa",4234,15
86614637793,Voice of the Cape Radio - VOC,Voice of the Cape Radio - VOC,4207,8
455133101359253,Tax Consulting South Africa,These ads ran without a disclaimer,4197,8
162643030493689,Democratic Alliance Mangaung Municipality,David Mark Campbell Mckay,4160,19
571775202881997,Democratic Alliance - Mossel Bay Constituency,Democratic Alliance - Mossel Bay Constituency,4071,10
143898482135286,Dianna Ortega,These ads ran without a disclaimer,4064,15
134261553114752,Special News,These ads ran without a disclaimer,4055,13
112722630147219,The Liesbeek Action Campaign,Liesbeek Action Campaign,4050,7
1917715138510680,Follow Your Legend,These ads ran without a disclaimer,4020,34
