Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
56292993421,Jeden svět / One World,Člověk v tísni o.p.s.,119181,25
1386439704902726,Piráti Zlínský kraj,Česká pirátská strana,119084,223
478284705683536,Mgr. Marek Šlapal,ČSSD,118420,38
224923858400165,Nenecháváme to tak,ATG Principal GROUP,116164,24
511497365600515,Markéta Pekarová Adamová,TOP 09,116062,93
105410686588,Piráti Brno,Česká pirátská strana - Jihomoravský kraj,115789,267
109664387308142,Poradna pro obce,KVB advokátní kancelář s.r.o.,114754,34
115112916857629,Karel Podzimek - Radní Jihomoravského kraje,Karel Podzimek,114751,187
277957209202178,Václav Klaus ml.,Trikolóra,114698,49
255541127963653,ProOlomouc,ProOlomouc,113952,73
350510278898035,Radim Ivan - pracující politik,Radim Ivan,113498,65
117787408240075,Radim Fiala - SPD,Svoboda a přímá demokracie (SPD),113459,396
252723251252904,Pavel Šotola,KDU-ČSL,113075,321
233440870590457,PRO Plzeň,PRO Plzeň,112096,359
105859461356280,Exekuční neřád,Rekonstrukce státu,112052,127
129237636702,Jan Hamáček,ČSSD,111722,22
115106741622257,Roman Ďurčo,Roman Ďurčo,111515,171
102057048156517,Centrum pro dopravu a energetiku,Centrum pro dopravu a energetiku,110548,34
171976652332,Mladí demokraté,Mladí demokraté,109987,110
101354244586132,Československá socialistická tisková kancelář,Konektor Social,109622,65
189520154425807,Ministerstvo životního prostředí,Ministerstvo životního prostředí,109427,126
312181048799130,Skupina ČEZ,These ads ran without a disclaimer,109204,14
121063544248026,SYNOT TIP,These ads ran without a disclaimer,108797,5
100793736209591,Česká republika na 1. místě,Česká republika na 1. místě!,108213,12
263270307130430,Brno Plus,Brno Plus,107195,50
105002754733933,Matěj Gregor • Svobodní,Odchod z.s.,107112,130
107733504431288,CEVRO ARENA,Jiří Cieslar,107074,252
109323929038,Česká pirátská strana,These ads ran without a disclaimer,106938,49
1691199151153995,Pavel Klíma,TOP 09,106774,60
307710452690539,Starostové a nezávislí - Jihomoravský kraj,Starostové a nezávislí • STAN,106269,105
113743658978459,Meltingpot,Meltingpot,105798,240
252673128998993,Daniela Ostrá • Sociální demokracie,Sociální demokracie,105772,112
173305846086912,Jiří Čunek,KDU-ČSL,105398,160
810056782516469,Patrik Nacher,Patrik Nacher,105165,73
104188635769423,Jaromír Radkovský - kandidát na senátora v obvodu Nový Jičín,TODO marekting,104955,17
236211929833146,Tomáš Zima,Společnost ZFP s.r.o.,103128,77
215919868555020,Starostové Moravskoslezský kraj,Starostové a nezávislí • STAN,102902,18
466459903794526,MUDr. Ivan David,European Parliament,102604,70
634087193362282,Společnost pro obranu svobody projevu,Společnost pro obranu svobody projevu,102564,47
545254525495201,Pravý břeh - Institut Petra Fialy,"Pravý břeh, z.s.",102502,63
686278158049451,"ANO, tohle je Znojmo",Štolpa David,102427,64
102212972529410,Plzeň SPOLU,Plzeň SPOLU,102410,107
937443906286455,Svoboda a přímá demokracie - SPD,Svoboda a přímá demokracie - SPD,100819,94
113489557033298,Mourek - politická strana,Libeňský mourek,100083,112
111041662264882,Sociální demokracie,ČESKÁ PRODUKČNÍ Social Media s.r.o.,99703,36
202974613060409,Pavel Poc,Poc Pavel,99298,40
157601240707,ODS Liberec,Petr Židek,99031,48
189453853156222,"Ondřej Dostál - zdraví, právo, spravedlnost","Ondřej Dostál - zdraví, právo, spravedlnost",98664,52
109424685781318,Nezávislí Berouňáci,Nezávislí Berouňáci,98661,10
105410686588,Piráti Brno,Česká pirátská strana,98651,373
662196877287140,Tomáš Třetina,"Společně pro Znojemsko – TOP 09, ODS, Starostové a nezávislí s podporou KDU-ČSL a hnutí Hlas",98520,159
