Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
356859544473040,קירות שקופים,רועי שפרניק,98357,180
102598145129819,עופר עיני Ofer Eini,סיעת כולנו-סלע בהסתדרות,98327,86
108714485611920,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,97743,114
182916765074767,אדם טבע ודין,אדם טבע ודין,97674,608
108760035823125,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,97634,230
2249582785307318,"עו""ד עמית בכר, ראש לשכת עורכי הדין","עו""ד עמית בכר, ראש לשכת עורכי הדין",96159,116
325248829893,"היכל התרבות פתח תקוה - ע""ש דב תבורי",היכל התרבות פתח תקוה,95473,163
1073548259341247,לובי 99,Lobby99 - public advocacy organizations,94321,27
221885774492166,לשכת המסחר,לשכת המסחר,94189,403
108787681841168,רישיון נשק בקליק,Michael Michel Levi,93776,5
360579527982726,מחאת הגלימות השחורות,מחאת הגלימות השחורות,93513,46
104212497615883,Sami Abou Shahadeh - سامي أبو شحادة,MK Sami Abou Shahadeh - النائب سامي أبو شحادة,93292,390
534335679927121,מועצה אזורית עמק חפר,מועצה אזורית עמק חפר,93261,284
109049212192912,יעקב בורובסקי-לראשות העיר חיפה,יעקב בורובסקי-לראשות העיר חיפה,92991,110
162036984185247,القائمة العربية الموحدة,القائمة العربية الموحدة,92882,136
109049212192912,יעקב בורובסקי-לראשות העיר חיפה,יעקב בורובסקי,92261,148
767859963379631,משרד האנרגיה והתשתיות,משרד האנרגיה,92100,4
100362081556129,משפיענים 2020,הברית הישראלית,91998,88
248660961864475,שחרית | سحرية | Shaharit,שחרית | سحرية | Shaharit,90196,719
622545034511462,נשים עושות שלום - نساء يصنعن السلام  - Women Wage Peace,נשים עושות שלום - نساء يصنعن السلام  - Women Wage Peace,90137,636
158195257562237,מיכאל לייטמן,"בני ברוך קבלה לעם ע""ר",89975,1882
1872240076389608,Make Israel Great Again,Make Israel Great Again,88536,216
103428925850338,אבי סלמה - דרך חדשה לנתניה,אבי סלמה - נתניה,88505,108
138399090105076,הבנק החברתי למזון תינוקות,הבנק החברתי למזון תינוקות,88386,80
110897178941008,מרכז אדוה,מרכז אדוה,88085,656
612784452070209,אורלי לוי-אבקסיס,Gesher Party,87743,68
877405719007268,מכון ארגמן - Argaman Institute,מכון ארגמן,87693,630
111929183991996,ותיקי ישראל,מפלגת ותיקי ישראל,87643,96
169827626771794,קבוצת בזן- Bazan Group - העמוד הרשמי,קבוצת בזן- Bazan Group - העמוד הרשמי,87500,7
222366157621391,תיקון 2024,תיקון 2024,86903,192
2087629251480875,רונן מרלי - Ronen Marelly,רונן מרלי - Ronen Marelly,86847,156
526338024136443,יהדות התורה,מפלגת יהדות התורה,86677,138
209554999239325,"רשף בטחון - 1993 בע""מ",רשף בטחון,86518,21
115970074938897,האיחוד הירושלמי - בראשות יוסי חביליו,האיחוד הירושלמי,86136,228
106729829160918,גייל שורש לראשות העיר רמת השרון,free ramat hasharon,86099,144
1477479039147346,شريف زعبي,شريف زعبي,85768,188
144210072289393,פיקוד העורף,פיקוד העורף,85531,16
147314178787332,אלי יריב - Eli Yariv,אלי יריב - Eli Yariv,85430,644
305986442906304,סלע מאיר הוצאה לאור,הוצאת ספרים סלע מאיר,85404,1090
361464970647064,זהר בלום - Zohar Blum,זהר בלום - Zohar Blum,84523,161
198917210119704,שלום עכשיו,שלום עכשיו,84428,493
357650951525858,אופיר כץ Ofir Katz,Ofir Katz,83670,705
148373088607944,משרד הבריאות,These ads ran without a disclaimer,83485,13
100477651346081,מי שלא מצביע אפס,הברית הישראלית,83207,15
100670388728370,הכלכלית - هكلكليت - الحزب الاقتصادي برئاسة يرون زليخا,ירון זליכה - המפלגה הכלכלית החדשה,83110,45
