Page ID,Page name,Disclaimer,Amount spent (LBP),Number of ads in Library
1812531202175847,نحو المواطنة,Mohamad Kanj,2006718,16
103197267900327,السلطة الرابعة - تلفزيون الثورة اللبنانية,These ads ran without a disclaimer,1970149,1
102942085705342,يوسف الشعابين,يوسف الشعابين,1970149,23
1736578776615824,حزب الولاء الوطني,These ads ran without a disclaimer,1850746,11
101359732304206,Share_M113_x2,These ads ran without a disclaimer,1814778,6
110540090866069,YES Lebanon,Hani Saliba,1776119,1
111451108112762,باب الحركة,These ads ran without a disclaimer,1771794,1
266613723369034,elmarada.org,El Marada,1746419,6
978420498967432,العربي 2,These ads ran without a disclaimer,1739829,10
1576421309337961,PYO-Gharb منظمة الشباب التقدمي -مكتب الغرب,These ads ran without a disclaimer,1731343,6
113375097163826,أ.د الشيخ طارق اللحام,الشيخ د.طارق اللحام,1671642,2
311355843081094,Info3,Jyad Murr,1656716,2
278035695547539,Legal Agenda  المفكرة القانونية,legal Agenda,1641793,2
1697777330324013,Hassan Mourad - حسن مراد,hassanmourad,1641791,17
2078282202406714,Sira سيرة,Tony Partamian,1633136,3
111545844749770,Intikhabet 2022,Intikhabet 2022,1626866,5
315674838549529,Al Jadeed,Al Jadeed TV,1611940,6
101451588060359,Minbeirut News,MinBeirut News,1582090,10
107266890756055,Nicolas Chikhani Finance,Natalie Maljian Salame,1572240,3
101420532543852,Ara Bardakjian,J.O,1552239,11
311355843081094,Info3,info3,1552239,6
100946712614612,Friends of Edgard Daher,These ads ran without a disclaimer,1537313,1
108238355141898,باقون نحمي ونبني,Ali Rizk,1525375,3
101209309194719,Maha Khalil Shatila,Maha Shatila,1522388,9
215286502189,Makhzoumi Foundation,Makhzoumi Foundation,1522388,4
103898532195815,Dr Nawfal Nawfal,These ads ran without a disclaimer,1500300,2
803596152996379,FNF Lebanon and Syria,FNF Lebanon and Syria,1492539,2
1409421475844098,Citizens & Politics,Citizens & Politics,1492539,1
108001878731771,حملة اقرار قانون التسجيل المدني للاحوال الشخصية CR Law Campaign,These ads ran without a disclaimer,1492537,1
1722742204405173,Rola El Mourad- Official,Black Advertising Agency,1492537,9
445170078856979,Live Love Beirut,Live Love Beirut,1492537,1
988559591312471,Joe Bou Nassif جو بو ناصيف,Joe Bou Nassif,1492537,2
111625304787871,Voteforwomen,F.F,1492537,2
202332907194467,Ali Darwish علي درويش,digitalexpert.pro,1477612,14
1159929357384800,Najib Lyan - نجيب ليان,Fajr Yassin,1469106,4
107506298840624,Move - تحرك,هيثم محمد طالب,1462687,5
103898532195815,Dr Nawfal Nawfal,Al Nadim,1447761,14
111876598323760,صدى الأرز اللبنانية,Charbel Nouh,1447761,50
112210791228786,Jean-Claude Saab,Jean Claude Saab,1432836,4
133347086742087,SHAREK ONLINE,These ads ran without a disclaimer,1407826,3
129769747033699,AljadeedOnline,Al Jadeed International Limited,1405524,5
1456350954658897,The Red Platform lb,The Red Platform,1402985,8
108728968627122,Beirut24.org,Beirut24.org,1384927,8
775764945964442,Nabil Badr-نبيل بدر,green glory,1358209,3
1009559249064283,Saleh Moukaddem - صالح المقدم,Abdallah Ftouni,1358061,10
322620961480414,محطة شوفي مافي - Shufi Mafi Station,These ads ran without a disclaimer,1346935,1
109385734949708,Beirut 24,Beirut 24,1346718,10
100127203020362,Siyasiya,Michel Gedeon,1343285,5
103422065650215,Chadi Joseph Bechara,These ads ran without a disclaimer,1334505,2
101241044906111,هنا لبنان,These ads ran without a disclaimer,1323733,14
1238173096287495,Azur Games,These ads ran without a disclaimer,1323456,12
103434618422644,thisislebanonnews,These ads ran without a disclaimer,1317165,21
103195885697073,لائحة التغيير الحقيقي,Arab Window,1313433,20
105300852140668,أصدقاء المرشح سعد الدّين الخطيب,توفيق الخطيب,1304777,8
104656962233165,Omar Ghassan Maloof - عمر الخيام غسان معلوف,Wadih Ghossein,1304628,4
149013021820628,Adyan Foundation - مؤسّسة أديان,Adyan Foundation - مؤسّسة أديان,1283582,6
109154541241085,Lebanese Forces,These ads ran without a disclaimer,1278359,3
775764945964442,Nabil Badr-نبيل بدر,Nabil Badr-نبيل بدر,1268658,9
210927869316790,Mohamad Shaker Kawas - محمد شاكر القواس,Mohammed Agha,1266568,16
115764721130859,Ma3 el watan,These ads ran without a disclaimer,1253731,4
242183826252599,صفحة المحامي حسن عفيف كشلي,These ads ran without a disclaimer,1223881,3
106882305229828,الميادين - لبنان,Ali Zein,1223881,2
280108703051,KHOURY HOME,Khoury Home,1208955,4
467653629981995,AlHudood شبكة الحدود,These ads ran without a disclaimer,1208955,2
103902632302010,Sally Hammoud,Speculum 360 Marketing Agency,1194030,2
101130715157016,Ihab Chaaban,Sharks Creators SARL,1185076,3
101592425627812,Coducators,These ads ran without a disclaimer,1175076,2
101420532543852,Ara Bardakjian,fiftyfifty,1170150,9
119076266545436,Rindala Beydoun رندلى بيضون,fiftyfifty,1169404,4
101101261360490,Al Fekr El Horr الفكر الحر,Joe Keyrouz,1164179,2
113389651337735,Fadi Abou Rahal,These ads ran without a disclaimer,1156419,5
113796117972446,لائحة معاََ نحو التغيير,Mohamad Kanj,1129703,12
68793499001,UNICEF,These ads ran without a disclaimer,1117148,24
1040813499415713,Enooma,Emile Elliye,1104478,2
156514087702491,Lancôme,These ads ran without a disclaimer,1058837,3
1108768849269022,B. CHEZ MOON,Asasate Development,1044776,1
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,1031920,42
101145932544993,Julie Daccache - جولي الدكاش,These ads ran without a disclaimer,1029851,10
110075141623098,Samir Michel Saliba,These ads ran without a disclaimer,1028508,2
580669405762418,Madanyat,These ads ran without a disclaimer,1024479,8
135355414550,Beirut City,These ads ran without a disclaimer,1014925,1
100780159266942,اخبار زحلة والبقاع,These ads ran without a disclaimer,1000000,2
104827078863720,المهندس رامي أسوم,Azzeddine El-Skaf,998210,4
1385565844878168,Lebanese Bloc,Lebanese Bloc,990449,2
1599363403627745,النقيب فهد مقدم Bâtonnier Fahd Mokaddem,Fahd Mokaddem,970149,6
323356544336,KAFA (enough) Violence & Exploitation,These ads ran without a disclaimer,970149,1
2334687086765961,Triangle: Policy - Research - Media,These ads ran without a disclaimer,968359,2
1640209509609973,Daraj Media,Daraj,958658,14
768168093235674,Janoubia جنوبية,Janoubia News,955075,8
171247176237894,NOW English,These ads ran without a disclaimer,947165,1
104252028606448,صوت بنت جبيل,صوت بنت جبيل,940299,44
113533150399652,Naqd - نقد,Naqd - نقد,932687,3
10250877124,Arab News,These ads ran without a disclaimer,930755,9
