Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
100774081990101,凡人封神,These ads ran without a disclaimer,237807,3
124473380937123,勵馨基金會 The Garden of Hope Foundation,勵馨基金會 The Garden of Hope Foundation,237705,143
599052206896566,黃適超 Huang Shih-Chao,賴又銣,237342,60
848701608655565,黃郁芬 台北市議員,黃郁芬 台北市議員,235097,90
103346579146805,陳聰吉,陳聰吉（正經阿伯）,234201,18
101909061180405,一邊一國行動黨,一邊一國行動黨,233971,73
271077586244690,黃馨慧,馨慧 黃,232721,28
307531466403423,童子瑋,童子瑋,232172,42
157793094819088,魯明哲,志楷魯,230686,100
981326588613347,親民黨 People First Party,親民黨 People First Party,230195,28
191215740749994,方舟老憨幸福家園,貝殼放大,229876,155
852685611414333,財團法人中華民國證券暨期貨市場發展基金會,財團法人中華民國證券暨期貨市場發展基金會,228925,31
689837094426996,邱靖雅-乘風破浪的姐姐,Pei Fang Hsieh,228779,191
114129008623973,蔡適應,蔡適應,227312,355
199893756728360,Alibaba.com 阿里巴巴,These ads ran without a disclaimer,227203,92
105172491809220,股票基本研究所,These ads ran without a disclaimer,226955,13
888230767933636,林德福,德福 林,226766,60
1919779001581270,逆風劇團,逆風劇團,226632,231
1979289942390139,宋國鼎律師 應徵苗栗縣長,宋國鼎律師 應徵苗栗縣長,224990,69
104151781637852,房屋E世貸,These ads ran without a disclaimer,222750,1
105866365620946,Annemarieb Amsden,These ads ran without a disclaimer,222087,2
106529198094108,中壢大仁哥 邱仁德,邱仁德,221379,112
107922969032863,曾聖凱,曾聖凱,220614,91
206471793062673,Netflix,These ads ran without a disclaimer,220594,4
873690272838014,以核養綠-缺電公民自救會,柏吟周,219647,4
174567875906128,Epson,台灣愛普生科技股份有限公司,219125,117
100767205591862,丁窈窕繪本：樹á跤ê自由夢,姝姝文創有限公司,219125,206
112782591854000,聽見在地的聲音,聽見在地的聲音,219124,343
102764756435823,黃柏霖,黃柏霖,219093,80
153367608485115,Sansiri PLC,緻霖高,218125,58
104640252092334,許瑞宏,郭陶陶,217967,142
