Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
1750234035208501,Adrian Mocanu,Mocanu Adrian,31594,56
282004838539253,Just Ideas,JUST Ideas SRL,31575,31
299447630500100,Antonie Solomon,Antonie Solomon,31539,127
1415002928807791,PNL Arad,Vesmart SRL,31491,36
325161187517978,Marian Oprișan,Partidul Social Democrat - Filiala Vrancea,31485,55
1903580739951981,PLUS,PLUS,31388,52
272370502030,Comisia Europeană în România,Reprezentanța Comisiei Europene în România,31364,8
1238823992859020,Cornel Zainea,Cornel Zainea,31309,120
201920416986321,EM360 Studio,EM360 cu Adi Maniutiu,31226,969
183473261723511,Ziar Piatra Neamt,Ziar Piatra Neamt,31170,227
106087515621317,Ora de Stiri,Ora de Stiri,31130,37
187133884725560,PNL Alba,PNL Alba,31105,441
112599703659958,Green News,ASOCIATIA GREEN ACADEMY,31097,151
181221645364365,Carmen Avram,Carmen Avram,31038,75
1094773083945512,Claudiu Nasui,NASUI CLAUDIU-IULIUS-GAVRIL,31035,42
621574984950400,Alianța USR PLUS,These ads ran without a disclaimer,30788,25
177708185581280,Erdélyi Magyar Szövetség,Erdélyi Magyar Néppárt,30687,363
260365460647855,Mircea Geoana,Mircea Geoana,30663,124
106601982707612,Fundatia Vodafone Romania,Fundatia Vodafone Romania,30659,93
104484254797326,Laura Vicol,Deputat Laura Vicol,30608,187
1010385432423828,Todaynews,Todaynews,30533,18
110665943772240,Virgil Pirvulescu,virgil pirvulescu,30518,175
795022763862618,Viorel Cataramă,Viorel Catarama,30481,31
1852364238326923,Laura-Iuliana Scântei,PNL IASI,30426,138
104218904688722,Hubert Thuma,Partidul Național Liberal,30366,57
181375448581167,Partidul Naţional Liberal,Future Innovation,30353,26
1656475137918717,USR Sector 6,Uniunea Salvati Romania,30216,78
101234161684006,Adrian Moraru,PNL Sector 3,30105,96
545470752223362,George Stângă,PNL Galati,29872,52
107066808189586,Panorama.ro,NEWBIZ ONLINE PUBLISHING S.R.L.,29863,56
245094455536925,FOUR PAWS,These ads ran without a disclaimer,29819,509
101340741758468,Radu Pescar,Pescar Radu Mircea,29762,223
100388498419647,Iulian Popescu,Iulian-Vasile Popescu,29673,162
114685395289559,Andreea Talmazan,Andreea-Cristina Talmazan,29624,16
406827252696664,Claudiu-Iorga Palaz,Partidul Mișcarea Populară - Organizația Județeană Constanța,29587,33
111105537419564,Oana Murariu,"Partidul Libertate, Unitate și Solidaritate",29552,62
338416500146655,USR Agigea,USR Constanța,29478,127
106704514303458,Știri de Sălaj,Știri de Sălaj,29438,25
110690456994830,Theodora Benedek,Partidul Național Liberal,29375,134
104877291323955,Darie Ștefan,Partidul National Liberal Filiala Ilfov,29317,23
1047658422027323,Dan Ivan,USR Maramureș,29287,101
591077984699308,Cazinouri Legale,These ads ran without a disclaimer,29251,8
686383221488491,PER Bucuresti,PER Bucuresti,29141,33
767582706713570,Allen Coliban,Uniunea Salvați România,29113,71
1067102103381405,PMP - Județul Buzău,PMP - Județul Buzău,29110,31
331180117476294,"Partidul Libertate, Unitate și Solidaritate - PLUS Alba",PLUS,29081,332
247959255375057,Magyarország Főkonzulátusa Csíkszereda,Magyarország Főkonzulátusa Csíkszereda,28979,14
1317563728271610,Ioana Constantin,Partidul Mișcarea Populară,28973,51
117472339887099,Cristian Gentea,PSD Argeș,28813,35
241910409500962,Ruben Budău,PSD Arad CMF21200019,28720,270
706663502771254,USR Sector 2,Uniunea Salvați România,28566,78
101190402372585,Campioni pentru viață,Campioni pentru viață,28498,191
278318719032543,Barti Tihamér,Barti Tihamér,28496,147
1801899166702042,PNL Brasov,PNL Brasov,28454,95
109716577272228,Alianța USR PLUS Bistrița-Năsăud,Alianța USR PLUS Bistrița-Năsaud,28334,77
321896004518929,Ioan Mang,Tild Consulting,28237,37
138896782840976,Biroul Parlamentului European în România,"Parlamentul European, Biroul de Informare în Romania",28035,57
101247135032882,Dr. FILIP Constantin - Titian,FILIP Constantin Titian,28025,164
107679567729218,Ion Cupă,PMP Severin,27873,90
101067171241323,Mihail David,PLUS Alba,27809,98
104537314785431,Lucian Lungoci,Partidul Social Democrat Filiala Constanța - 11200020,27639,15
1557836147771248,Pavel Emilian,WeCreate Ads,27631,90
501922796520976,Recolamp,Recolamp,27627,406
208694883781,Tudor - Tim Ionescu,ALDE Sector 6 - Alianta Liberalilor si Democratilor,27612,28
275718032506812,Oana Bulai,Bulai Oana Gianina,27536,533
106810404209140,Vlad Voiculescu,PLUS Bucureşti,27535,72
1427831627527824,RMDSZ Bihar Megye,Heus Media Service,27358,321
110335290887293,Tit-Liviu Brăiloiu,Partidul Social Democrat Filiala Constanța - 11200020,27345,22
106305774176332,Andrei Plujar,USR Caraș-Severin,27324,36
292847028010932,Aresel,Tudor Adrian,27268,98
220261894740674,Calin Buzgau,PRO România Mureș,27172,57
165467823513147,Alin Tișe,TMK Research Services,27158,16
103445844473825,Alianța pentru Unirea Românilor - AUR,DGI Multimedia Design SRL,27050,83
236215875884,Libertatea,Libertatea,26955,91
1572019133014738,Gabriel Toncean,PNL Mures,26848,26
808773709245245,Nicolae Giugea,Nicolae Giugea,26800,135
113285397117325,Brian Cristian,PLUS Maramureș,26676,55
433179246802682,Consiliul Investitorilor Străini - FIC,Consiliul Investitorilor Străini - FIC,26613,12
105159391030852,Ovidiu Tanjala,Ovidiu Tanjala,26592,82
460424000818954,Marius Arcăleanu,Partidul Naţional Liberal,26515,48
1563137543927183,PNL Sector 4,PNL Sector 4,26413,76
1738339926491503,Silviu Dehelean,Uniunea Salvați România - USR,26306,32
558660550980931,INFO NEAMȚ,INFO NEAMȚ,26236,130
434422389926419,PNL Sector 2,Partidul Naţional Liberal,26192,220
505785196105852,Florian Bodog,Tild Consulting SRL,26073,37
101167822409042,Alexandru Gyorgy,Alexandru Gyorgy,26051,97
113795383753850,Viorel Băltărețu,Cabinet Parlamentar Viorel Băltărețu USRPLUS Cluj,26012,82
2658085720898451,PLUS Sector 1,PLUS Sector 1,25954,72
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,25927,37
363974753693918,Cosmin Necula,Cosmin Necula,25871,198
1723480164579572,USR Brașov,USR Brașov,25862,111
518360088519274,Cristache Cătălin,MUNTEANU MARIUS-CATALIN,25752,82
372155856222044,PSD ARAD,Psd Arad CMF 11200020,25742,297
473014883050399,Neculai Ontanu,Neculai Ontanu - Partid ADER Sector 2,25738,26
1415002928807791,PNL Arad,Gonzo Media,25662,116
434422389926419,PNL Sector 2,PNL sector 2,25630,84
115223543730170,Ludovic Orban,Ludovic Orban,25520,55
1133289623473565,Lucian Patrascu,Partidul Social Democrat,25498,53
