Page ID,Page name,Disclaimer,Amount spent (SAR),Number of ads in Library
0,Instagram User 7687212970,These ads ran without a disclaimer,≤100,1
108026915234540,গরিবের বন্ধু প্রবাসী ভাই,These ads ran without a disclaimer,≤100,1
108079928435296,The Digisutra,These ads ran without a disclaimer,≤100,1
138203086047036,Egypt Citizenship,These ads ran without a disclaimer,≤100,3
100265542896332,هل تعلم,These ads ran without a disclaimer,≤100,1
112016147970317,cavidofficialzm,These ads ran without a disclaimer,≤100,1
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,≤100,5
19549406249,Tata Consultancy Services,These ads ran without a disclaimer,≤100,1
101118576165226,سعوديه الان 1,These ads ran without a disclaimer,≤100,1
382666925498432,وزارة الاقتصاد والتخطيط,These ads ran without a disclaimer,≤100,6
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100,62
175590267993,Al Majalla,These ads ran without a disclaimer,≤100,21
106872025486917,السعودية القابضة,These ads ran without a disclaimer,≤100,2
116172715684966,AJ360 الجزيرة 360,These ads ran without a disclaimer,≤100,9
114319561948157,PCRF - Palestine Children's Relief Fund,These ads ran without a disclaimer,≤100,2
101968216252682,D s,These ads ran without a disclaimer,≤100,1
101638658366950,فيصل الحازمي,These ads ran without a disclaimer,≤100,1
110524861651053,3alraslani,These ads ran without a disclaimer,≤100,4
115966738028814,Saudi Arabia News,These ads ran without a disclaimer,≤100,2
100296796451599,Sarwat Art,These ads ran without a disclaimer,≤100,1
108546307213896,Gradient,These ads ran without a disclaimer,≤100,2
104035911692079,Life Changing Opportunity,These ads ran without a disclaimer,≤100,1
107511842275280,سمو ألامير مقرن بن عبدالعزيز أل سعود,These ads ran without a disclaimer,≤100,2
106594359080889,جمعية البر الخيرية بالعطيف,جمعية البر الخيرية بالعطيف,≤100,2
112993958332734,sahab88alsaud,These ads ran without a disclaimer,≤100,1
106155379106513,Saudi Awards,These ads ran without a disclaimer,≤100,2
251037904762707,Dubai realestate,These ads ran without a disclaimer,≤100,2
0,Instagram User 751575953,These ads ran without a disclaimer,≤100,1
179775482103230,Elfaleh Sports House,These ads ran without a disclaimer,≤100,1
190970044097592,Nizam Badlo Pakistan Badlo,Pakistan Tehreek-e-Insaaf,≤100,1
109247831893843,Umma Relief,These ads ran without a disclaimer,≤100,2
103929791073860,Inside Telecom,These ads ran without a disclaimer,≤100,10
188709048330572,Abu Dhabi Sustainability Week - ADSW,These ads ran without a disclaimer,≤100,3
104757945737903,S3odia arabia2004.,These ads ran without a disclaimer,≤100,2
100306835701460,rootura روتورا,These ads ran without a disclaimer,≤100,1
131323361664110,The Gate Real Estate,These ads ran without a disclaimer,≤100,1
116204151408641,سمو الأميره علياء بنت عبدالله بن عبدالعزيز آل سعود,These ads ran without a disclaimer,≤100,1
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,15
103617965703673,jsoor_2030,These ads ran without a disclaimer,≤100,1
109766318434999,ticket_meax,These ads ran without a disclaimer,≤100,1
317133351574,Namal Knowledge City,These ads ran without a disclaimer,≤100,1
101200862422133,Children of the world,These ads ran without a disclaimer,≤100,2
107847177821253,NOW الشرق,These ads ran without a disclaimer,≤100,15
550280998481446,Rasha Kelej,These ads ran without a disclaimer,≤100,8
198317336853861,Qatar Airways,These ads ran without a disclaimer,≤100,1
1619969771657694,Yidan Prize,These ads ran without a disclaimer,≤100,2
107693475656416,Abdul Qudoos Brohi,These ads ran without a disclaimer,≤100,9
857194504403562,Queen Rania Fans,These ads ran without a disclaimer,≤100,1
254204978398937,Rania alkasaji,These ads ran without a disclaimer,≤100,1
102915525031471,Billionaire Riyadh,These ads ran without a disclaimer,≤100,1
101348372354845,Wow low price,These ads ran without a disclaimer,≤100,4
101312702785874,Mohammad Niqab Khan,These ads ran without a disclaimer,≤100,1
235470850310111,सानो सैलुङ्ग बर्सुनी महादेव,These ads ran without a disclaimer,≤100,1
104136364410543,Luxsary US,These ads ran without a disclaimer,≤100,1
132602556595505,প্রবাসী সাকিব,These ads ran without a disclaimer,≤100,1
119324734165,YourLifeCom,These ads ran without a disclaimer,≤100,1
106778668404111,বাংলা বার্তা,These ads ran without a disclaimer,≤100,1
112160025168510,jobs if,These ads ran without a disclaimer,≤100,1
145726335465699,صحيفة الشرق الأوسط,These ads ran without a disclaimer,≤100,10
103671378413456,2dwd,These ads ran without a disclaimer,≤100,1
899377410240592,MonoGallery,These ads ran without a disclaimer,≤100,1
658757024135414,Dr Farid Jamjoom Clinic,These ads ran without a disclaimer,≤100,1
128826702693257,Step One,These ads ran without a disclaimer,≤100,1
134061403121399,Xomtom Orson,These ads ran without a disclaimer,≤100,1
174134565786323,سمو الأميره سحاب بنت عبدالله بن عبد العزيز ال سعود,These ads ran without a disclaimer,≤100,4
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,36
101064355661113,Homeland Real Estate - هوم لاند العقارية,These ads ran without a disclaimer,≤100,1
