Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
121840184351100,Siempre Argentina,Siempre Argentina,4040284,50
106449905849575,Seguimos Haciendo,PJ Catamarca,4019895,72
151807301338075,Mejor para Argentina,Mejor para Argentina,4010054,34
169608523058431,Universidad de Buenos Aires,Universidad de Buenos Aires,3996890,36
508042719277404,Fabricio Bolatti,FABRICIO BOLATTI,3981683,2079
100151736415392,Cordobalanumerouno,Cordoba la número 1,3972271,14
227513130941976,Ignacio Torres,Juntos por Chubut,3965702,274
836721716420200,Lautaro Jimenez,Frente de Izquierda,3954634,503
143715592310560,Infocampo,Infocampo,3953708,312
111017727886118,Chuchi Molina,Chuchi Adriana Molina,3949386,391
723782314401584,Enrique Estévez,Enrique Estevez,3921021,100
393029947474606,Gobierno de Río Negro,Gobierno de Río Negro,3891556,171
755620767797794,Diario Mejor Informado,Prima Multimedios SRL,3889315,293
100151736415392,Cordobalanumerouno,Cordoba la número uno,3887050,38
147026682520945,Gustavo Saadi,Gustavo Saadi,3886198,516
134500523079951,Frenemos la derecha,Frenemos la derecha,3883030,93
612558932188461,Segundo Cernadas,Segundo Cernadas,3881973,230
100353269043329,Esteban Arico Intendente,Construir Ciudad San Lorenzo,3879977,276
164498250084545,Patagonia Ar,La Patagonia Ar,3878524,38
445392962299057,José Núñez,José Núñez,3870925,9
113732213839062,Unión por la Patria JG,Unión por la Patria JG,3865941,142
233734300112003,Juan Monteverde,Por una Rosario sin miedo,3863325,80
947520791967929,Claudio Poggi,Claudio Poggi,3841518,110
112200072188893,Eduardo Cáceres,Eduardo Cáceres,3836593,463
167822363077422,Frenemos esto,Frenemos esto,3806208,137
123647271053761,Partido de los Trabajadores Socialistas (PTS),Partido de los Trabajadores Socialistas (PTS),3804077,66
101364195948955,KATO DICE Y HACE,KATO DICE Y HACE,3800352,97
183940131655054,María Eugenia Vidal,Juntos por el Cambio - Capital Federal,3798799,539
1525482941081445,Roxana Reyes,Roxana Reyes,3785368,507
253898394637965,Luciana Echevarría,MST,3766431,303
1035095966513931,Municipalidad de Salta,Municipalidad de Salta,3727252,294
